Journal Report 1 (R4),Number of Successful Full-Text Article Requests by Month and Journal,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,
2018-01-01 to 2018-07-31,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Reporting Period Total,Reporting Period HTML,Reporting Period PDF,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18
Acta Pathologica Microbiologica Scandinavica Section C Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463f,APM,0304-1328,1600-0463,1,0,1,0,1,0,0,0,0,0
Acta Pathologica Microbiologica Scandinavica Series A :Pathology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463a,APM,0108-0164,1600-0463,0,0,0,0,0,0,0,0,0,0
Acta Pathologica Microbiologica Scandinavica Series B: Microbiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463b,APM,0108-0180,1600-0463,4,0,4,0,0,0,0,0,1,3
Acta Pathologica Microbiologica Scandinavica Series C: Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463c,APM,0108-0202,1600-0463,1,0,1,0,0,0,0,1,0,0
Acta Pharmacologica et Toxicologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0773,BCPT,0001-6683,1600-0773,25,7,18,1,2,2,16,2,2,0
Acta Pharmacologica Sinica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-7254,APHS,1671-4083,1745-7254,5,1,4,0,0,2,1,1,0,1
Acta Physiologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1748-1716,APHA,1748-1708,1748-1716,123,54,69,29,22,16,16,10,14,16
Acta Physiologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-201X,APHA,0001-6772,1365-201X,85,14,71,5,10,28,16,12,8,6
Acta Polymerica,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4044,2209,0323-7648,1521-4044,1,0,1,0,1,0,0,0,0,0
Acta Psychiatrica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0447,ACPS,0001-690X,1600-0447,330,143,187,26,44,75,54,41,35,55
Acta Radiologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0455,ARD,0284-1851,1600-0455,0,0,0,0,0,0,0,0,0,0
Acta Zoologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1463-6395,AZO,0001-7272,1463-6395,30,14,16,1,6,3,9,3,3,5
Acute Medicine & Surgery,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2052-8817,AMS2,2052-8817,2052-8817,20,11,9,4,1,4,1,4,2,4
Addiction,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1360-0443,ADD,0965-2140,1360-0443,558,332,226,57,88,118,108,111,42,34
Addiction Biology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1369-1600,ADB,1355-6215,1369-1600,132,62,70,14,15,31,30,15,21,6
Adultspan Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2161-0029,ADSP,1524-6817,2161-0029,0,0,0,0,0,0,0,0,0,0
Advanced Biosystems,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2366-7478,E771,2366-7478,2366-7478,174,74,100,16,20,56,27,22,15,18
Advanced Ceramic Materials,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1551-2916a, ,0883-5551,1551-2916,0,0,0,0,0,0,0,0,0,0
Advanced Electronic Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2199-160X,E707,2199-160X,2199-160X,225,99,126,46,25,40,22,32,34,26
Advanced Energy Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1614-6840,2528,1614-6832,1614-6840,1509,642,867,213,246,221,191,183,257,198
Advanced Engineering Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1527-2648,2266,1438-1656,1527-2648,215,88,127,44,31,33,29,14,31,33
Advanced Functional Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1616-3028,2126,1616-301X,1616-3028,2674,1132,1542,350,351,415,401,315,421,421
Advanced Healthcare Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2192-2659,2087,2192-2640,2192-2659,742,331,411,110,126,100,83,95,123,105
Advanced Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4095,2089,0935-9648,1521-4095,6214,2428,3786,854,921,881,839,915,1026,778
Advanced Materials for Optics and Electronics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0712,AMO,1057-9257,1099-0712,5,0,5,0,0,0,3,0,1,1
Advanced Materials Interfaces,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2196-7350,E706,2196-7350,2196-7350,435,184,251,69,66,55,71,63,65,46
Advanced Materials Technologies,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2365-709X,E767,2365-709X,2365-709X,152,51,101,29,22,19,14,21,21,26
Advanced Optical Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2195-1071,E298,2195-1071,2195-1071,247,102,145,36,39,22,23,41,44,42
Advanced Quantum Technologies,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2511-9044,E820,2511-9044,2511-9044,0,0,0,0,0,0,0,0,0,0
Advanced Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2198-3844,E749,2198-3844,2198-3844,369,169,200,47,54,58,39,43,63,65
Advanced Sustainable Systems,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2366-7486,E769,2366-7486,2366-7486,16,9,7,0,2,4,1,5,3,1
Advanced Synthesis & Catalysis,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1615-4169,2258,1615-4150,1615-4169,506,97,409,57,54,85,81,64,91,74
Advanced Theory and Simulations,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2513-0390,E343,2513-0390,2513-0390,6,2,4,0,0,1,2,0,3,0
ADVANCED THERAPEUTICS,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2366-3987,E313,2366-3987,2366-3987,8,1,7,0,1,0,0,1,2,4
ADVANCES IN CELL AND GENE THERAPY,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2573-8461,ACG2,2573-8461,2573-8461,0,0,0,0,0,0,0,0,0,0
Advances in Digestive Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2351-9800,AID2,2351-9800,2351-9800,0,0,0,0,0,0,0,0,0,0
Advances in Ethology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1439-0310b,ETH,0931-4202,1439-0310,0,0,0,0,0,0,0,0,0,0
Advances in Ophthalmology and Vision Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2043-7331,AOV,2043-7323,2043-7331,0,0,0,0,0,0,0,0,0,0
Advances in Polymer Technology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2329,ADV,0730-6679,1098-2329,85,11,74,12,3,2,53,5,7,3
AEM Education and Training,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2472-5390,AET2,2472-5390,2472-5390,12,8,4,3,0,3,0,3,3,0
Africa Confidential,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6338,AFCO,0044-6483,1467-6338,15,0,15,0,0,0,0,0,0,15
"Africa Research Bulletin: Economic, Financial and Technical Series",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6346,ARBE,0001-9852,1467-6346,15,10,5,0,1,5,7,2,0,0
"Africa Research Bulletin: Political, Social and Cultural Series",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-825X,ARBP,0001-9844,1467-825X,15,7,8,0,0,1,8,5,1,0
African Development Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8268,AFDR,1017-6772,1467-8268,30,8,22,2,1,2,7,4,10,4
African Journal of Ecology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2028,AJE,0141-6707,1365-2028,99,56,43,5,39,18,10,11,8,8
Aggressive Behavior,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2337,AB,0096-140X,1098-2337,57,23,34,11,6,4,9,13,7,7
Aging Cell,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1474-9726,ACEL,1474-9718,1474-9726,593,341,252,88,86,140,91,62,83,43
AGING MEDICINE,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2475-0360,AGM2,2475-0360,2475-0360,1,0,1,0,0,0,0,1,0,0
Agribusiness,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6297,AGR,0742-4477,1520-6297,92,31,61,10,17,19,18,14,8,6
Agricultural and Forest Entomology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1461-9563,AFE,1461-9555,1461-9563,120,67,53,16,19,23,17,13,18,14
Agricultural Economics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1574-0862,AGEC,0169-5150,1574-0862,351,140,211,59,68,62,55,46,32,29
AIChE Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1547-5905,AIC,0001-1541,1547-5905,1410,405,1005,181,214,287,267,181,169,111
Alcoholism & Drug Abuse Weekly,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1556-7591,ADAW,1042-1394,1556-7591,3,2,1,0,0,0,3,0,0,0
Alcoholism: Clinical and Experimental Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1530-0277,ACER,0145-6008,1530-0277,284,115,169,32,35,59,58,39,31,30
Alimentary Pharmacology & Therapeutics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2036,APT,0269-2813,1365-2036,886,547,339,56,109,360,116,107,79,59
Alimentary Pharmacology & Therapeutics Symposium Series,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1746-6342,APTS,1746-6334,1746-6342,0,0,0,0,0,0,0,0,0,0
Allergology International,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1592,AIN,1323-8930,1440-1592,0,0,0,0,0,0,0,0,0,0
Allergy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1398-9995,ALL,0105-4538,1398-9995,315,146,169,51,54,53,42,53,26,36
Alternatives to the High Cost of Litigation,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1549-4381,ALT,1549-4373,1549-4381,12,5,7,1,0,1,1,6,3,0
Ambulatory Child Health,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-0658,ACH,1355-5626,1467-0658,0,0,0,0,0,0,0,0,0,0
American Anthropologist,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-1433,AMAN,0002-7294,1548-1433,1025,362,663,114,157,199,145,288,60,62
American Business Law Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1744-1714,ABLJ,0002-7766,1744-1714,32,11,21,9,0,8,6,2,4,3
American Documentation,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1936-6108,ASI,0096-946X,1936-6108,3,0,3,0,0,0,2,0,0,1
American Ethnologist,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-1425,AMET,0094-0496,1548-1425,847,338,509,54,189,194,137,177,47,49
American Heart Hospital Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1751-7168,AHH,1541-9215,1751-7168,0,0,0,0,0,0,0,0,0,0
American Journal of Agricultural Economics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8276,AJAE,0002-9092,1467-8276,0,0,0,0,0,0,0,0,0,0
American Journal of Anatomy,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1553-0795,DVDY,0002-9106,1553-0795,96,7,89,9,7,21,19,23,10,7
American Journal of Botany,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1537-2197,AJB2,0002-9122,1537-2197,1004,563,441,15,198,147,260,94,156,134
American Journal of Community Psychology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1573-2770,AJCP,0091-0562,1573-2770,93,42,51,15,9,13,10,21,16,9
American Journal of Economics and Sociology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1536-7150,AJES,0002-9246,1536-7150,49,15,34,5,6,16,8,6,5,3
American Journal of Hematology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-8652,AJH,0361-8609,1096-8652,819,282,537,111,134,131,109,130,98,106
American Journal of Human Biology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6300,AJHB,1042-0533,1520-6300,132,53,79,19,13,26,19,29,23,3
American Journal of Industrial Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0274,AJIM,0271-3586,1097-0274,119,34,85,5,21,29,17,23,8,16
American Journal of Medical Genetics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-8628,AJMG,0148-7299,1096-8628,112,28,84,14,18,32,17,9,17,5
American Journal of Medical Genetics Part A,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1552-4833,AJMG,1552-4825,1552-4833,385,184,201,44,78,77,56,50,43,37
American Journal of Medical Genetics Part B: Neuropsychiatric Genetics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1552-485X,AJMB,1552-4841,1552-485X,88,56,32,13,13,15,20,8,16,3
American Journal of Medical Genetics Part C: Seminars in Medical Genetics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1552-4876,AJMC,1552-4868,1552-4876,125,70,55,12,5,16,27,20,19,26
American Journal of Orthopsychiatry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1939-0025,AJOP,0002-9432,1939-0025,63,13,50,8,7,6,15,7,10,10
American Journal of Physical Anthropology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-8644,AJPA,0002-9483,1096-8644,515,188,327,63,71,117,80,95,51,38
American Journal of Political Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-5907,AJPS,0092-5853,1540-5907,708,297,411,85,108,96,130,168,41,80
American Journal of Primatology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2345,AJP,0275-2565,1098-2345,277,106,171,26,17,34,64,74,26,36
American Journal of Reproductive Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0897,AJI,1046-7408,1600-0897,150,70,80,35,12,20,36,19,10,18
American Journal of Reproductive Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0897b,AJI,0271-7352,1600-0897,1,0,1,0,0,0,0,0,0,1
American Journal of Reproductive Immunology and Microbiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0897a,AJI,8755-8920,1600-0897,0,0,0,0,0,0,0,0,0,0
American Journal of Transplantation,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-6143,AJT,1600-6135,1600-6143,1430,624,806,311,218,249,137,200,158,157
Anaesthesia,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2044,ANAE,0003-2409,1365-2044,711,367,344,76,88,134,91,80,114,128
Analyses of Social Issues and Public Policy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1530-2415,ASAP,1529-7489,1530-2415,65,40,25,15,4,12,13,11,5,5
Analysis,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8284,ANAL,0003-2638,1467-8284,8,0,8,0,0,5,3,0,0,0
Analytic Philosophy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2153-960X,PHIB,2153-9596,2153-960X,19,6,13,0,11,4,2,1,0,1
"Anatomia, Histologia, Embryologia",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1439-0264,AHE,0340-2096,1439-0264,133,42,91,15,40,27,10,16,19,6
Anatomical Science International,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1447-073X,ASIN,1447-6959,1447-073X,4,2,2,1,0,3,0,0,0,0
Anatomical Sciences Education,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1935-9780,ASE,1935-9772,1935-9780,45,25,20,5,2,4,8,16,9,1
Andrologia,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1439-0272,AND,0303-4569,1439-0272,126,51,75,12,31,21,6,27,20,9
Andrology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2047-2927,ANDR,2047-2919,2047-2927,125,54,71,17,12,22,15,30,16,13
Angewandte Chemie,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-3757,2001,0044-8249,1521-3757,1428,657,771,213,199,205,174,206,214,217
Angewandte Chemie International Edition,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-3773,2002,1433-7851,1521-3773,14749,4539,10210,3743,1963,2115,1690,1744,1768,1726
Angewandte Chemie International Edition in English,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-3773a,2002,0570-0833,1521-3773,387,6,381,46,60,58,68,45,49,61
Animal Blood Groups and Biochemical Genetics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2052a,AGE,0003-3480,1365-2052,3,0,3,1,0,0,0,2,0,0
Animal Conservation,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1469-1795,ACV,1367-9430,1469-1795,159,83,76,22,39,26,30,14,10,18
Animal Genetics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2052,AGE,0268-9146,1365-2052,254,143,111,49,43,53,41,24,20,24
Animal Models and Experimental Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2576-2095,AME2,2576-2095,2576-2095,3,0,3,0,0,0,0,0,3,0
Animal Science Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1740-0929,ASJ,1344-3941,1740-0929,91,40,51,10,23,5,15,18,9,11
