Journal Report 5 (R4),Number of Successful Full-Text Article Requests by Year-of-Publication (YOP) and Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 to 2018-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Articles In Press   ,YOP 2018            ,YOP 2017            ,YOP 2016            ,YOP 2015            ,YOP 2014            ,YOP 2013            ,YOP 2012            ,YOP 2011            ,YOP 2010            ,YOP 2009            ,YOP 2008            ,YOP 2007            ,YOP 2006            ,YOP 2005            ,YOP 2004            ,YOP 2003            ,YOP 2002            ,YOP 2001            ,YOP 2000            ,YOP 1999            ,YOP 1998            ,YOP 1997            ,YOP 1996            ,YOP 1995            ,YOP 1994            ,YOP 1993            ,YOP 1992            ,YOP 1991            ,YOP 1990            ,YOP Pre 1990        
Acta Biotechnologica,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-3846,ABIO                ,0138-4988    ,1521-3846    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,5
Acta Crystallographica Section A,John Wiley and Sons,Wiley Online Library,10.1107/S01087673,AYA                 ,0108-7673    ,1600-5724    ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section A,John Wiley and Sons,Wiley Online Library,10.1107/S20532733,AYA2                ,2053-2733    ,2053-2733    ,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section B,John Wiley and Sons,Wiley Online Library,10.1107/S20525206,AYB2                ,2052-5206    ,2052-5206    ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section B,John Wiley and Sons,Wiley Online Library,10.1107/S01087681,AYB                 ,0108-7681    ,1600-5740    ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section C,John Wiley and Sons,Wiley Online Library,10.1107/S20532296,AYC2                ,2053-2296    ,2053-2296    ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section C,John Wiley and Sons,Wiley Online Library,10.1107/S01082701,AYC                 ,0108-2701    ,1600-5759    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section D,John Wiley and Sons,Wiley Online Library,10.1107/S20597983,AYD2                ,2059-7983    ,2059-7983    ,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section D,John Wiley and Sons,Wiley Online Library,10.1107/S13990047,AYD2                ,1399-0047    ,1399-0047    ,2,0,0,0,2,0,4,0,2,3,0,2,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Acta Crystallographica Section F,John Wiley and Sons,Wiley Online Library,10.1107/S2053230X,AYF2                ,2053-230X    ,2053-230X    ,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section F,John Wiley and Sons,Wiley Online Library,10.1107/S17443091,AYF2                ,1744-3091    ,1744-3091    ,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Geologica Sinica - English Edition,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-6724,ACGS                ,1000-9515    ,1755-6724    ,0,1,5,4,0,5,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Medica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)0954-6820a,JOIM                ,0001-6101    ,0954-6820    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
Acta Neurologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0404,ANE                 ,0001-6314    ,1600-0404    ,5,7,40,12,13,10,2,4,8,6,3,9,8,3,11,13,5,4,2,1,4,2,1,2,4,1,0,1,0,4,26
Acta Neuropsychiatrica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1601-5215,ACN                 ,0924-2708    ,1601-5215    ,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Obstetricia et Gynecologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0412,AOGS                ,0001-6349    ,1600-0412    ,20,21,28,9,6,13,14,7,4,4,7,5,7,3,8,4,4,8,3,8,1,1,1,0,0,0,0,0,0,0,0
Acta Ophthalmologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-3768,AOS                 ,1755-375X    ,1755-3768    ,21,5,11,7,19,12,12,6,3,5,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,8
Acta Ophthalmologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0420,AOS                 ,1395-3907    ,1600-0420    ,0,0,0,0,0,0,0,0,0,0,0,0,8,1,10,1,1,7,0,5,2,0,1,0,0,0,0,0,0,0,0
Acta Paediatrica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1651-2227,APA                 ,0803-5253    ,1651-2227    ,26,18,18,16,24,17,21,11,10,16,17,21,19,13,8,7,3,5,6,6,11,2,4,6,4,4,1,3,1,2,53
Acta Pathologica Microbiologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463h,APM                 ,0365-5555    ,1600-0463    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Acta Pathologica Microbiologica Scandinavica Section A Pathology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463d,APM                 ,0365-4184    ,1600-0463    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Acta Pathologica Microbiologica Scandinavica Section B Microbiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463e,APM                 ,0304-131X    ,1600-0463    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Acta Pathologica Microbiologica Scandinavica Section B Microbiology and Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463g,APM                 ,0365-5563    ,1600-0463    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Acta Pathologica Microbiologica Scandinavica Section C Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463f,APM                 ,0304-1328    ,1600-0463    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Acta Pathologica Microbiologica Scandinavica Series B: Microbiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463b,APM                 ,0108-0180    ,1600-0463    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Acta Pathologica Microbiologica Scandinavica Series C: Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463c,APM                 ,0108-0202    ,1600-0463    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Acta Pharmacologica Sinica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-7254,APHS                ,1671-4083    ,1745-7254    ,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Pharmacologica et Toxicologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0773,BCPT                ,0001-6683    ,1600-0773    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Acta Physiologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1748-1716,APHA                ,1748-1708    ,1748-1716    ,14,14,20,7,17,11,1,8,4,3,7,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Physiologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-201X,APHA                ,0001-6772    ,1365-201X    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,1,0,4,2,0,2,0,0,0,1,3,64
Acta Polymerica,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4044,APOL                ,0323-7648    ,1521-4044    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Acta Psychiatrica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0447,ACPS                ,0001-690X    ,1600-0447    ,25,46,17,11,7,22,16,8,20,8,7,2,9,8,2,7,9,6,11,4,7,4,6,6,3,8,2,2,3,1,43
Acta Zoologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1463-6395,AZO                 ,0001-7272    ,1463-6395    ,1,5,1,2,1,0,4,0,2,0,5,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,0,0,0,0
Acta hydrochimica et hydrobiologica,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-401X,AHEH                ,0323-4320    ,1521-401X    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Acute Medicine & Surgery,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2052-8817,AMS2                ,2052-8817    ,2052-8817    ,2,2,4,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADVANCED THERAPEUTICS,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2366-3987,ADTP                ,2366-3987    ,2366-3987    ,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEM Education and Training,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2472-5390,AET2                ,2472-5390    ,2472-5390    ,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGING MEDICINE,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2475-0360,AGM2                ,2475-0360    ,2475-0360    ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIChE Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1547-5905,AIC                 ,0001-1541    ,1547-5905    ,249,149,301,103,50,37,36,24,20,12,16,3,10,13,12,15,39,4,8,8,8,14,8,13,14,9,14,10,4,10,195
Addiction,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1360-0443,ADD                 ,0965-2140    ,1360-0443    ,80,46,75,24,18,55,22,22,24,14,8,24,18,4,21,14,19,33,1,10,2,3,0,1,0,13,7,0,0,0,0
Addiction Biology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1369-1600,ADB                 ,1355-6215    ,1369-1600    ,31,16,33,12,8,2,9,1,0,3,0,3,3,0,4,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0
Advanced Biosystems,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2366-7478,ADBI                ,2366-7478    ,2366-7478    ,58,74,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Electronic Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2199-160X,AELM                ,2199-160X    ,2199-160X    ,60,32,44,85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Energy Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1614-6840,AENM                ,1614-6832    ,1614-6840    ,479,288,298,124,162,60,27,39,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Engineering Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1527-2648,ADEM                ,1438-1656    ,1527-2648    ,45,11,76,15,4,6,3,14,5,8,1,2,6,3,2,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Functional Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1616-3028,ADFM                ,1616-301X    ,1616-3028    ,571,471,403,257,189,137,173,125,48,83,51,32,40,28,18,18,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Healthcare Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2192-2659,ADHM                ,2192-2640    ,2192-2659    ,189,139,127,112,67,64,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4095,ADMA                ,0935-9648    ,1521-4095    ,1215,1050,1015,653,433,300,304,209,218,146,95,76,77,69,38,42,77,29,39,32,16,27,9,7,5,5,5,6,2,2,2
Advanced Materials Interfaces,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2196-7350,ADMI                ,2196-7350    ,2196-7350    ,100,87,107,77,44,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Materials Technologies,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2365-709X,ADMT                ,2365-709X    ,2365-709X    ,35,40,50,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Materials for Optics and Electronics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0712,AMO                 ,1057-9257    ,1099-0712    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0
Advanced Optical Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2195-1071,ADOM                ,2195-1071    ,2195-1071    ,73,33,56,22,38,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2198-3844,ADVS                ,2198-3844    ,2198-3844    ,133,78,58,49,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Sustainable Systems,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2366-7486,ADSU                ,2366-7486    ,2366-7486    ,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Synthesis & Catalysis,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1615-4169,ADSC                ,1615-4150    ,1615-4169    ,80,23,49,40,40,17,32,24,36,25,18,43,14,18,10,18,7,2,10,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Theory and Simulations,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2513-0390,ADTS                ,2513-0390    ,2513-0390    ,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advances in Polymer Technology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2329,ADV                 ,0730-6679    ,1098-2329    ,12,3,0,0,0,1,3,0,8,0,1,1,0,3,1,0,1,43,6,0,1,0,0,1,0,0,0,0,0,0,0
Africa Confidential,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6338,AFCO                ,0044-6483    ,1467-6338    ,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0
"Africa Research Bulletin: Economic, Financial and Technical Series",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6346,ARBE                ,0001-9852    ,1467-6346    ,0,0,1,1,1,5,0,1,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Africa Research Bulletin: Political, Social and Cultural Series",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-825X,ARBP                ,0001-9844    ,1467-825X    ,1,1,2,3,2,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
African Development Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8268,AFDR                ,1017-6772    ,1467-8268    ,0,0,4,3,2,1,4,0,0,0,10,1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
African Journal of Ecology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2028,AJE                 ,0141-6707    ,1365-2028    ,13,0,8,9,2,11,3,1,0,14,2,2,13,2,0,1,8,2,0,1,5,2,0,0,0,0,0,0,0,0,0
Aggressive Behavior,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2337,AB                  ,0096-140X    ,1098-2337    ,3,15,2,2,2,2,1,0,2,3,0,1,4,5,0,1,2,1,1,0,0,0,7,2,0,0,0,0,0,0,1
Aging Cell,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1474-9726,ACEL                ,1474-9718    ,1474-9726    ,122,104,74,42,29,19,23,41,8,22,16,17,22,17,10,14,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Agribusiness,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6297,AGR                 ,0742-4477    ,1520-6297    ,7,10,17,4,5,10,11,3,4,1,2,2,0,3,0,0,3,1,0,1,0,1,1,0,2,0,0,0,0,2,2
Agricultural Economics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1574-0862,AGEC                ,0169-5150    ,1574-0862    ,22,31,64,65,32,17,18,10,8,10,9,12,21,2,17,3,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0
Agricultural and Forest Entomology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1461-9563,AFE                 ,1461-9555    ,1461-9563    ,25,7,16,5,3,1,1,6,3,2,6,3,7,0,5,1,2,4,5,12,6,0,0,0,0,0,0,0,0,0,0
Alcoholism & Drug Abuse Weekly,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1556-7591,ADAW                ,1042-1394    ,1556-7591    ,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcoholism: Clinical and Experimental Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1530-0277,ACER                ,0145-6008    ,1530-0277    ,22,32,22,22,33,16,8,4,14,9,8,8,8,7,5,5,8,5,9,2,9,2,0,4,6,2,3,3,1,0,7
Alimentary Pharmacology & Therapeutics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2036,APT                 ,0269-2813    ,1365-2036    ,54,56,63,22,56,34,36,11,297,32,24,24,33,14,24,28,13,7,17,15,5,6,10,2,1,0,2,0,0,0,0
Allergy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1398-9995,ALL                 ,0105-4538    ,1398-9995    ,53,23,16,15,8,26,20,19,11,19,11,3,15,2,12,11,13,5,2,12,3,0,2,1,1,0,3,0,1,0,8
Alternatives to the High Cost of Litigation,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1549-4381,ALT                 ,1549-4373    ,1549-4381    ,0,2,0,1,0,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
American Anthropologist,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-1433,AMAN                ,0002-7294    ,1548-1433    ,8,49,56,67,60,33,36,67,37,27,6,32,25,48,40,9,15,27,17,14,9,13,15,4,4,10,3,2,3,0,277
American Business Law Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1744-1714,ABLJ                ,0002-7766    ,1744-1714    ,0,0,4,1,1,3,0,4,1,2,0,0,2,0,0,0,3,0,2,0,0,9,0,0,0,0,0,0,0,0,0
American Documentation,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1936-6108,ASI                 ,0096-946X    ,1936-6108    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
American Ethnologist,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-1425,AMET                ,0094-0496    ,1548-1425    ,18,50,85,93,99,40,47,72,18,46,24,25,56,6,14,7,29,5,4,11,11,3,9,9,11,1,4,0,2,5,38
American Journal of Anatomy,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1553-0795,AJA                 ,0002-9106    ,1553-0795    ,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,82
American Journal of Botany,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1537-2197,AJB2                ,0002-9122    ,1537-2197    ,181,291,99,45,28,31,24,19,14,86,20,26,22,11,5,17,14,10,17,0,10,19,4,4,0,1,0,0,0,0,0
American Journal of Community Psychology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1573-2770,AJCP                ,0091-0562    ,1573-2770    ,6,11,14,4,2,6,1,9,1,6,4,10,9,3,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0
American Journal of Economics and Sociology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1536-7150,AJES                ,0002-9246    ,1536-7150    ,0,3,2,6,0,7,1,3,1,2,1,1,6,5,1,0,0,1,3,4,1,0,1,0,0,0,0,0,0,0,0
American Journal of Hematology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-8652,AJH                 ,0361-8609    ,1096-8652    ,47,71,122,106,62,74,36,50,23,34,13,12,13,18,27,25,8,28,5,3,4,2,3,1,6,3,2,4,1,3,13
American Journal of Human Biology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6300,AJHB                ,1042-0533    ,1520-6300    ,13,18,17,4,11,6,2,9,1,6,5,2,6,8,1,0,0,2,3,0,2,0,2,3,1,2,2,1,5,0,0
American Journal of Industrial Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0274,AJIM                ,0271-3586    ,1097-0274    ,8,10,20,9,9,4,11,7,1,8,4,2,1,0,4,0,4,3,0,0,1,0,0,5,0,2,0,0,0,2,4
American Journal of Medical Genetics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-8628,AJMG                ,0148-7299    ,1096-8628    ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,13,2,9,3,6,6,3,3,4,0,4,23
