Journal Report 5 (R4),Number of Successful Full-Text Article Requests by Year-of-Publication (YOP) and Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01 to 2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Articles In Press   ,YOP 2017            ,YOP 2016            ,YOP 2015            ,YOP 2014            ,YOP 2013            ,YOP 2012            ,YOP 2011            ,YOP 2010            ,YOP 2009            ,YOP 2008            ,YOP 2007            ,YOP 2006            ,YOP 2005            ,YOP 2004            ,YOP 2003            ,YOP 2002            ,YOP 2001            ,YOP 2000            ,YOP 1999            ,YOP 1998            ,YOP 1997            ,YOP 1996            ,YOP 1995            ,YOP 1994            ,YOP 1993            ,YOP 1992            ,YOP 1991            ,YOP 1990            ,YOP Pre 1990        
Acta Biotechnologica,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-3846,ABIO                ,0138-4988    ,1521-3846    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,1,1,0,7
Acta Botanica Neerlandica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1438-8677a,PLB                 ,0044-5983    ,1438-8677    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Acta Crystallographica Section A,John Wiley and Sons,Wiley Online Library,10.1107/S01087673,AYA                 ,0108-7673    ,1600-5724    ,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section A,John Wiley and Sons,Wiley Online Library,10.1107/S20532733,AYA2                ,2053-2733    ,2053-2733    ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section B,John Wiley and Sons,Wiley Online Library,10.1107/S20525206,AYB2                ,2052-5206    ,2052-5206    ,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section B,John Wiley and Sons,Wiley Online Library,10.1107/S20525192,AYB2                ,2052-5192    ,2052-5206    ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section B,John Wiley and Sons,Wiley Online Library,10.1107/S01087681,AYB                 ,0108-7681    ,1600-5740    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Acta Crystallographica Section C,John Wiley and Sons,Wiley Online Library,10.1107/S20532296,AYC2                ,2053-2296    ,2053-2296    ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section D,John Wiley and Sons,Wiley Online Library,10.1107/S20597983,AYD2                ,2059-7983    ,2059-7983    ,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section D,John Wiley and Sons,Wiley Online Library,10.1107/S13990047,AYD2                ,1399-0047    ,1399-0047    ,0,0,0,16,2,10,1,1,1,2,3,1,1,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section E,John Wiley and Sons,Wiley Online Library,10.1107/S16005368,AYE2                ,1600-5368    ,1600-5368    ,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section F,John Wiley and Sons,Wiley Online Library,10.1107/S2053230X,AYF2                ,2053-230X    ,2053-230X    ,0,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section F,John Wiley and Sons,Wiley Online Library,10.1107/S17443091,AYF2                ,1744-3091    ,1744-3091    ,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Geologica Sinica - English Edition,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-6724,ACGS                ,1000-9515    ,1755-6724    ,0,10,20,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Acta Medica Austriaca,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1563-2571,AMA                 ,0303-8173    ,1563-2571    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Medica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)0954-6820a,JOIM                ,0001-6101    ,0954-6820    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
Acta Neurologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0404,ANE                 ,0001-6314    ,1600-0404    ,37,52,31,10,6,13,10,15,8,15,18,5,14,11,20,6,6,6,3,5,4,2,0,5,2,0,4,3,3,38
Acta Neuropsychiatrica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1601-5215,ACN                 ,0924-2708    ,1601-5215    ,0,0,0,0,0,0,1,4,3,0,0,3,7,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Obstetricia et Gynecologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0412,AOGS                ,0001-6349    ,1600-0412    ,13,33,30,35,17,26,19,23,6,6,2,18,6,22,12,7,10,21,3,12,4,0,4,0,0,0,0,0,0,0
Acta Ophthalmologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-3768,AOS                 ,1755-375X    ,1755-3768    ,43,33,27,17,18,12,8,18,9,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14
Acta Ophthalmologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0420,AOS                 ,1395-3907    ,1600-0420    ,0,0,0,0,0,0,0,0,0,0,0,10,3,1,9,0,18,7,1,3,1,2,4,0,0,0,0,0,0,0
Acta Paediatrica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1651-2227,APA                 ,0803-5253    ,1651-2227    ,46,46,47,51,28,40,32,27,26,24,31,39,10,17,5,6,6,4,4,13,3,2,12,9,6,4,2,4,5,65
Acta Pathologica Microbiologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463h,APM                 ,0365-5555    ,1600-0463    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
Acta Pathologica Microbiologica Scandinavica Section A Pathology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463d,APM                 ,0365-4184    ,1600-0463    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Acta Pathologica Microbiologica Scandinavica Section B Microbiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463e,APM                 ,0304-131X    ,1600-0463    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Acta Pathologica Microbiologica Scandinavica Section B Microbiology and Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463g,APM                 ,0365-5563    ,1600-0463    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Acta Pathologica Microbiologica Scandinavica Section C Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463f,APM                 ,0304-1328    ,1600-0463    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Acta Pathologica Microbiologica Scandinavica Series C: Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463c,APM                 ,0108-0202    ,1600-0463    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Acta Pharmacologica Sinica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-7254,APHS                ,1671-4083    ,1745-7254    ,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Pharmacologica et Toxicologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0773,BCPT                ,0001-6683    ,1600-0773    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Acta Physiologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1748-1716,APHA                ,1748-1708    ,1748-1716    ,29,57,16,49,34,2,21,11,13,13,12,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Physiologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-201X,APHA                ,0001-6772    ,1365-201X    ,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,8,0,3,1,5,6,4,3,4,4,2,0,1,3,114
Acta Polymerica,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4044,APOL                ,0323-7648    ,1521-4044    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,0,0,0,0,0,0,0
Acta Psychiatrica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0447,ACPS                ,0001-690X    ,1600-0447    ,20,70,30,25,23,7,16,5,15,5,20,8,22,11,30,21,17,10,5,0,3,5,17,4,6,2,5,5,7,62
Acta hydrochimica et hydrobiologica,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-401X,AHEH                ,0323-4320    ,1521-401X    ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,2,0,0,1,0,2,1,0,1
AEM Education and Training,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2472-5390,AET2                ,2472-5390    ,2472-5390    ,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIChE Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1547-5905,AIC                 ,0001-1541    ,1547-5905    ,659,543,417,159,203,133,137,125,72,54,40,16,71,29,29,83,18,18,22,31,11,22,18,11,18,7,15,6,6,399
Acta Radiologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0455,ARD                 ,0284-1851    ,1600-0455    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Acta Zoologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1463-6395,AZO                 ,0001-7272    ,1463-6395    ,7,5,6,6,0,4,1,2,2,0,1,4,4,0,0,0,1,1,4,2,0,2,0,0,0,0,0,0,0,0
Acute Medicine & Surgery,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2052-8817,AMS2                ,2052-8817    ,2052-8817    ,5,7,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addiction,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1360-0443,ADD                 ,0965-2140    ,1360-0443    ,92,99,80,40,57,47,29,40,37,46,38,18,15,43,23,32,23,2,6,8,3,10,3,1,13,4,0,0,0,0
Addiction Biology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1369-1600,ADB                 ,1355-6215    ,1369-1600    ,71,31,42,32,14,12,19,3,1,2,21,7,11,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0
Adultspan Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2161-0029,ADSP                ,1524-6817    ,2161-0029    ,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Biosystems,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2366-7478,ADBI                ,2366-7478    ,2366-7478    ,67,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Electronic Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2199-160X,AELM                ,2199-160X    ,2199-160X    ,61,73,132,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Energy Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1614-6840,AENM                ,1614-6832    ,1614-6840    ,830,589,483,453,192,103,138,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Engineering Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1527-2648,ADEM                ,1438-1656    ,1527-2648    ,98,123,55,22,15,8,18,9,8,3,0,3,1,3,6,4,10,2,1,1,0,0,0,0,0,0,0,0,0,0
Advanced Functional Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1616-3028,ADFM                ,1616-301X    ,1616-3028    ,790,809,583,360,386,349,207,191,132,82,68,55,32,32,19,28,1,7,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Healthcare Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2192-2659,ADHM                ,2192-2640    ,2192-2659    ,389,320,290,180,128,93,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4095,ADMA                ,0935-9648    ,1521-4095    ,1997,2745,1545,1074,771,682,637,512,399,201,142,169,104,78,96,98,57,43,43,15,33,10,20,18,21,6,8,1,8,2
Advanced Materials Interfaces,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2196-7350,ADMI                ,2196-7350    ,2196-7350    ,172,161,298,65,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Materials Technologies,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2365-709X,ADMT                ,2365-709X    ,2365-709X    ,93,62,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Materials for Optics and Electronics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0712,AMO                 ,1057-9257    ,1099-0712    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Advanced Optical Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2195-1071,ADOM                ,2195-1071    ,2195-1071    ,98,106,52,99,34,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2198-3844,ADVS                ,2198-3844    ,2198-3844    ,89,126,161,64,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Sustainable Systems,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2366-7486,ADSU                ,2366-7486    ,2366-7486    ,23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Synthesis & Catalysis,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1615-4169,ADSC                ,1615-4150    ,1615-4169    ,91,86,79,36,40,35,36,38,29,51,29,25,12,10,19,7,20,7,0,0,0,0,0,0,0,0,0,0,0,0
Advances in Polymer Technology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2329,ADV                 ,0730-6679    ,1098-2329    ,25,5,1,5,1,7,2,5,0,0,0,5,0,1,3,0,1,4,1,0,0,1,0,0,5,0,0,0,0,1
"Africa Research Bulletin: Economic, Financial and Technical Series",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6346,ARBE                ,0001-9852    ,1467-6346    ,0,35,21,3,6,7,14,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Africa Research Bulletin: Political, Social and Cultural Series",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-825X,ARBP                ,0001-9844    ,1467-825X    ,0,10,80,129,2,0,0,2,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
African Development Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8268,AFDR                ,1017-6772    ,1467-8268    ,0,25,8,2,0,6,2,3,6,0,1,0,2,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
African Journal of Ecology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2028,AJE                 ,0141-6707    ,1365-2028    ,20,18,7,8,5,12,15,5,21,4,0,7,1,11,9,1,1,13,0,0,1,0,0,0,0,0,0,0,0,0
Aggressive Behavior,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2337,AB                  ,0096-140X    ,1098-2337    ,8,11,7,1,9,7,4,1,3,6,0,7,2,2,1,6,3,1,1,5,0,0,0,0,0,0,0,0,0,0
Aging Cell,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1474-9726,ACEL                ,1474-9718    ,1474-9726    ,160,133,87,69,62,90,52,20,33,31,46,37,34,12,14,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Agribusiness,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6297,AGR                 ,0742-4477    ,1520-6297    ,29,22,23,8,11,12,10,4,2,6,1,5,5,1,1,9,4,4,3,3,6,2,1,2,0,1,0,0,1,2
Agricultural Economics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1574-0862,AGEC                ,0169-5150    ,1574-0862    ,92,72,149,40,49,39,39,39,60,33,54,61,25,28,2,5,2,7,9,0,0,0,0,0,0,0,0,0,0,0
Agricultural and Forest Entomology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1461-9563,AFE                 ,1461-9555    ,1461-9563    ,25,18,11,2,7,20,4,2,2,11,5,8,0,1,9,8,3,9,2,2,0,0,0,0,0,0,0,0,0,0
Alcoholism & Drug Abuse Weekly,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1556-7591,ADAW                ,1042-1394    ,1556-7591    ,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcoholism: Clinical and Experimental Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1530-0277,ACER                ,0145-6008    ,1530-0277    ,23,76,65,38,47,27,76,25,29,7,15,26,25,13,11,2,7,8,5,2,15,7,6,4,11,5,4,3,8,19
Alimentary Pharmacology & Therapeutics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2036,APT                 ,0269-2813    ,1365-2036    ,27,132,81,127,87,84,50,59,61,28,48,50,45,37,29,51,20,20,13,10,17,7,2,4,2,1,1,0,0,1
Allergy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1398-9995,ALL                 ,0105-4538    ,1398-9995    ,92,96,58,27,55,31,25,25,27,19,14,24,18,15,20,16,3,19,16,14,2,3,2,2,1,2,0,0,0,4
Alternatives to the High Cost of Litigation,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1549-4381,ALT                 ,1549-4373    ,1549-4381    ,0,2,5,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
American Anthropologist,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-1433,AMAN                ,0002-7294    ,1548-1433    ,58,101,102,123,146,83,50,52,106,28,30,12,21,29,12,11,9,23,13,21,15,7,7,4,5,6,3,2,5,434
American Business Law Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1744-1714,ABLJ                ,0002-7766    ,1744-1714    ,0,4,1,1,13,11,7,1,1,1,16,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0
American Documentation,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1936-6108,ASI                 ,0096-946X    ,1936-6108    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
American Ethnologist,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-1425,AMET                ,0094-0496    ,1548-1425    ,31,137,177,113,121,104,135,69,66,29,155,31,24,41,5,16,15,18,16,15,19,4,21,8,8,6,9,1,5,78
American Journal of Anatomy,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1553-0795,AJA                 ,0002-9106    ,1553-0795    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,124
American Journal of Community Psychology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1573-2770,AJCP                ,0091-0562    ,1573-2770    ,3,57,29,6,8,10,14,10,54,4,22,12,13,0,1,2,4,4,6,3,1,1,1,0,0,0,0,0,0,0
American Journal of Economics and Sociology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1536-7150,AJES                ,0002-9246    ,1536-7150    ,0,45,16,3,3,10,3,27,2,0,5,6,16,0,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0
American Journal of Hematology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-8652,AJH                 ,0361-8609    ,1096-8652    ,107,247,241,193,135,89,98,83,57,35,15,38,25,24,35,27,30,11,2,7,7,0,5,11,8,8,1,4,10,33
American Journal of Human Biology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6300,AJHB                ,1042-0533    ,1520-6300    ,40,50,14,30,9,14,25,7,10,9,5,5,3,5,4,3,1,3,1,0,1,1,0,0,0,3,4,1,1,1
American Journal of Industrial Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0274,AJIM                ,0271-3586    ,1097-0274    ,1,36,50,17,41,12,24,9,15,1,10,6,8,4,8,10,9,3,0,0,3,0,0,4,0,1,1,2,0,7
American Journal of Medical Genetics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-8628,AJMG                ,0148-7299    ,1096-8628    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,24,12,8,6,5,6,4,3,12,4,5,17
American Journal of Medical Genetics Part A,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1552-4833,AJMG                ,1552-4825    ,1552-4833    ,76,131,70,85,82,52,25,54,46,35,34,42,41,41,44,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Journal of Medical Genetics Part B: Neuropsychiatric Genetics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1552-485X,AJMG                ,1552-4841    ,1552-485X    ,32,47,16,31,2,18,7,11,20,5,11,11,3,8,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Journal of Medical Genetics Part C: Seminars in Medical Genetics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1552-4876,AJMG                ,1552-4868    ,1552-4876    ,5,99,23,36,8,16,17,6,2,6,9,0,3,18,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
