Last Updated,02/10/18,.,WILEY CONFIDENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley Online Library Journals List  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Code used by Wiley ,ISSN,eSSN,Title,Price,2017 Usage,Cost per use,FTE Band (if applicable),Journal DOI,Wiley  Online Library URL,General Subject Category,Primary Subject Area,Media,External notes PRICING,POD availability,Online Open,Included in Database Model,Full Collection,STM Collection,SSH Collection,Medicine & Nursing Collection,Not in any Standard Collections,R4L Collection,INASP Collection,Collection Start year/Start year for Current Sub,Collection Start Volume/Start Vol for current Sub,Current Year Volume,Current Year Issue,Backfile Start Year,Backfile Start Volume,Backfile Start Issue,Backfile End Year,Backfile End Volume,Backfile End Issue,Society Name,2018 Impact Factor,
2084,1464-4177,1751-7648,STRUCTURAL CONCRETE,#N/A,8,#N/A,,10.1002/(ISSN)1751-7648,https://onlinelibrary.wiley.com/journal/17517648,Physical Sciences & Engineering,General & Introductory Civil Engineering & Construction,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2011,12,20,6,,,,,,,Féderation Internationale du Béton,1.424,
2087,2192-2640,2192-2659,ADVANCED HEALTHCARE MATERIALS,#N/A,1428,#N/A,FTE-Small,10.1002/(ISSN)2192-2659,https://onlinelibrary.wiley.com/journal/21922659,Physical Sciences & Engineering,General & Introductory Materials Science,Online,E-only title,Yes,Yes,Yes,,,,,Not in any Standard Collection,,,2012,1,8,24,,,,,,,,5.110,
2089,0935-9648,1521-4095,ADVANCED MATERIALS,#N/A,11535,#N/A,,10.1002/(ISSN)1521-4095,https://onlinelibrary.wiley.com/journal/15214095,Physical Sciences & Engineering,General & Introductory Materials Science,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,10,31,52,1989,VOL. 1,1,1997,9,15,,19.791,
2090,0937-1478,1521-3811,LEBENSMITTELCHEMIE,#N/A,3,#N/A,,10.1002/(ISSN)1521-3811,https://onlinelibrary.wiley.com/journal/15213811,"Agriculture, Aquaculture & Food Science",Food Chemistry,Print & Online,,,No,Yes,,,,,Not in any Standard Collection,,,2010,62,73,6,,,,,,,Gesellschaft Deutscher Chemiker,,
2091,0932-8351,1437-0999,BAUTECHNIK,#N/A,14,#N/A,,10.1002/(ISSN)1437-0999,https://onlinelibrary.wiley.com/journal/14370999,Physical Sciences & Engineering,General & Introductory Civil Engineering & Construction,Print & Online,,,No,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,75,96,12,,,,,,,,0.289,
2092,0038-9145,1437-1049,STAHLBAU,#N/A,25,#N/A,,10.1002/(ISSN)1437-1049,https://onlinelibrary.wiley.com/journal/14371049,Physical Sciences & Engineering,General & Introductory Civil Engineering & Construction,Print & Online,,,No,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,67,88,12,,,,,,,,0.201,
2093,0005-9900,1437-1006,BETON- UND STAHLBETONBAU,#N/A,17,#N/A,,10.1002/(ISSN)1437-1006,https://onlinelibrary.wiley.com/journal/14371006,Physical Sciences & Engineering,General & Introductory Civil Engineering & Construction,Print & Online,,,No,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,92,114,12,,,,,,,,0.425,
2094,0171-5445,1437-0980,BAUPHYSIK,#N/A,7,#N/A,,10.1002/(ISSN)1437-0980,https://onlinelibrary.wiley.com/journal/14370980,Physical Sciences & Engineering,General & Introductory Civil Engineering & Construction,Print & Online,,,No,Yes,Full Collection,STM Collection,,,,,INASP Collection,2001,23,41,6,,,,,,,,0.205,
2106,0944-5846,1521-3730,"CHEMKON - CHEMIE KONKRET, FORUM FUER  UNTERRICHT UND DIDAKTIK",#N/A,12,#N/A,,10.1002/(ISSN)1521-3730,https://onlinelibrary.wiley.com/journal/15213730,Chemistry,General & Introductory Chemistry,Print & Online,,,No,Yes,Full Collection,STM Collection,,,,,INASP Collection,2002,9,26,8,1994,VOL. 1,1,2001,8,3,Gesellschaft Deutscher Chemiker,,
2111,0947-6539,1521-3765,CHEMISTRY - A EUROPEAN JOURNAL,#N/A,4057,#N/A,,10.1002/(ISSN)1521-3765,https://onlinelibrary.wiley.com/journal/15213765,Chemistry,General & Introductory Chemistry,Online,E-only title. ,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,4,25,72,1995,VOL. 1,1,1997,3,12,ChemPubSoc Europe,5.317,
2114,1438-7697,1438-9312,EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,#N/A,279,#N/A,,10.1002/(ISSN)1438-9312,https://onlinelibrary.wiley.com/journal/14389312,"Agriculture, Aquaculture & Food Science",Oils & Fats,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,100,121,12,1893,VOL. 1-4,1-12,1997,99,12,,2.145,
2116,1432-3427,1437-1022,MAUERWERK,#N/A,8,#N/A,,10.1002/(ISSN)1437-1022,https://onlinelibrary.wiley.com/journal/14371022,Physical Sciences & Engineering,General & Introductory Civil Engineering & Construction,Print & Online,,,No,Yes,Full Collection,STM Collection,,,,,INASP Collection,2001,5,23,6,,,,,,,,,
2120,1615-9853,1615-9861,PROTEOMICS,#N/A,1452,#N/A,,10.1002/(ISSN)1615-9861,https://onlinelibrary.wiley.com/journal/16159861,Life Sciences,Cell & Molecular Biology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2001,1,19,24,,,,,,,,4.041,
2126,1616-301X,1616-3028,ADVANCED FUNCTIONAL MATERIALS,#N/A,4131,#N/A,,10.1002/(ISSN)1616-3028,https://onlinelibrary.wiley.com/journal/16163028,Physical Sciences & Engineering,General & Introductory Materials Science,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,7,29,52,1992,VOL. 1,1,1996,5,6,,12.124,
2127,1616-5187,1616-5195,MACROMOLECULAR BIOSCIENCE,#N/A,617,#N/A,,10.1002/(ISSN)1616-5195,https://onlinelibrary.wiley.com/journal/16165195,Physical Sciences & Engineering,Polymer Science & Technology General,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2001,1,19,12,,,,,,,,3.680,
2129,1618-0240,1618-2863,ENGINEERING IN LIFE SCIENCES (SEE E129),#N/A,133,#N/A,,10.1002/(ISSN)1618-2863,https://onlinelibrary.wiley.com/journal/16182863,Life Sciences,Biotechnology (Life Sciences),Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2001,1,19,12,,,,,,,,2.119,
2130,1617-7061,1617-7061,PROCEEDINGS IN APPLIED MATHEMATICS & MECHANICS,#N/A,65,#N/A,,10.1002/(ISSN)1617-7061,https://onlinelibrary.wiley.com/journal/16177061,Mathematics & Statistics,General & Introductory Mathematics,Online,Free title on a bundle,,No,Yes,Full Collection,STM Collection,,,,,INASP Collection,2002,1,,,,,,,,,,,
2136,1612-1872,1612-1880,CHEMISTRY & BIODIVERSITY,#N/A,95,#N/A,,10.1002/(ISSN)1612-1880,https://onlinelibrary.wiley.com/journal/16121880,Chemistry,Pharmaceutical & Medicinal Chemistry,Online,E-only title. ,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2004,1,16,12,,,,,,,,1.440,
2139,1862-6254,1862-6270,PHYSICA STATUS SOLIDI (RRL) RAPID RESEARCH LETTERS,#N/A,152,#N/A,FTE-Small,10.1002/(ISSN)1862-6270,https://onlinelibrary.wiley.com/journal/18626270,Physical Sciences & Engineering,Solid State Physics,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2007,1,13,12,,,,,,,,2.578,
2157,2193-5807,2193-5815,ASIAN JOURNAL OF ORGANIC CHEMISTRY,#N/A,339,#N/A,FTE-Small,10.1002/(ISSN)2193-5815,https://onlinelibrary.wiley.com/journal/21935815,Chemistry,Organic Chemistry,Online,E-only title,Yes,Yes,Yes,,,,,Not in any Standard Collection,,INASP Collection,2012,1,8,12,,,,,,,Asian Chemical Editorial Society,2.788,
2198,2194-4288,2194-4296,ENERGY TECHNOLOGY,#N/A,213,#N/A,FTE-Small,10.1002/(ISSN)2194-4296,https://onlinelibrary.wiley.com/journal/21944296,Chemistry,General & Introductory Chemical Engineering,Online,E-only title,Yes,Yes,Yes,,,,,Not in any Standard Collection,,,2013,1,7,12,,,,,,,,2.789,
2216,1613-4125,1613-4133,MOLECULAR NUTRITION & FOOD RESEARCH,#N/A,47,#N/A,,10.1002/(ISSN)1613-4133,https://onlinelibrary.wiley.com/journal/16134133,"Agriculture, Aquaculture & Food Science",General & Introductory Food Science & Technology,Online,2018 E-only title ,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,42,63,24,1957,VOL. 1,1,1997,41,6,,4.323,
2217,0018-019X,1522-2675,HELVETICA CHIMICA ACTA,#N/A,273,#N/A,,10.1002/(ISSN)1522-2675,https://onlinelibrary.wiley.com/journal/15222675,Chemistry,General & Introductory Chemistry,Online,E-only title. ,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1999,82,102,12,1918,VOL. 1,1,1998,81,12,Swiss Chemical Society,1.071,
2221,0323-3847,1521-4036,BIOMETRICAL JOURNAL,#N/A,97,#N/A,,10.1002/(ISSN)1521-4036,https://onlinelibrary.wiley.com/journal/15214036,Mathematics & Statistics,Biometrics,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,40,61,6,1959,VOL. 1,1,1997,39,8,,1.075,
2222,0863-1042,1521-3986,CONTRIBUTIONS TO PLASMA PHYSICS,#N/A,0,#N/A,,10.1002/(ISSN)1521-3986,https://onlinelibrary.wiley.com/journal/15213986,Physical Sciences & Engineering,General & Introductory Physics,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2000,40,59,10,1960,VOL. 1,1,1999,39,6,,1.255,
2223,0232-1300,1521-4079,CRYSTAL RESEARCH & TECHNOLOGY,#N/A,0,#N/A,,10.1002/(ISSN)1521-4079,https://onlinelibrary.wiley.com/journal/15214079,Physical Sciences & Engineering,General & Introductory Physics,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,33,54,12,1966,VOL. 1,1,1997,32,8,,0.908,
2228,0004-6337,1521-3994,ASTRONOMISCHE NACHRICHTEN,#N/A,20,#N/A,,10.1002/(ISSN)1521-3994,https://onlinelibrary.wiley.com/journal/15213994,Physical Sciences & Engineering,Astronomy & Astrophysics,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1999,320,340,9,1823,VOL. 1,1,1998,319,6,,0.916,
2231,1862-6300,1862-6319,PHYSICA STATUS SOLIDI (A) APPLICATIONS ANDMATERIALS SCIENCE,#N/A,346,#N/A,,10.1002/(ISSN)1862-6319,https://onlinelibrary.wiley.com/journal/18626319,Physical Sciences & Engineering,Solid State Physics,Online,2018 E-only title ,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,159,216,24,1970,VOL. 1,1,1996,158,2,,,
2232,0370-1972,1521-3951,PHYSICA STATUS SOLIDI (B) BASIC SOLID STATE PHYSICS,#N/A,739,#N/A,,10.1002/(ISSN)1521-3951,https://onlinelibrary.wiley.com/journal/15213951,Physical Sciences & Engineering,Solid State Physics,Online,2018 E-only title ,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,199,256,12,1961,VOL. 1,1,1996,198,2,,1.674,
2233,0044-2267,1521-4001,ZAMM JOURNAL OF APPLIED MATHEMATICS AND MECHANICS,#N/A,88,#N/A,,10.1002/(ISSN)1521-4001,https://onlinelibrary.wiley.com/journal/15214001,Mathematics & Statistics,General & Introductory Mathematics,Online,E-only title. ,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,78,99,12,1921,VOL. 1,1,1997,77,12,,1.332,
2239,0025-584X,1522-2616,MATHEMATISCHE NACHRICHTEN,#N/A,45,#N/A,,10.1002/(ISSN)1522-2616,https://onlinelibrary.wiley.com/journal/15222616,Mathematics & Statistics,General & Introductory Mathematics,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2000,209,292,12,1948,VOL. 1,1,1999,197,1,,0.688,
2243,0014-8962,1522-239X,FEDDES REPERTORIUM,#N/A,6,#N/A,,10.1002/(ISSN)1522-239Xb,https://onlinelibrary.wiley.com/journal/1522239Xb,Life Sciences,Plant Science,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2002,113,130,4,1905,VOL. 1,1,2001,112,3-4,,,
2244,0015-8208,1521-3978,FORTSCHRITTE DER PHYSIK/PROGRESS OF PHYSICS,#N/A,13,#N/A,,10.1002/(ISSN)1521-3978,https://onlinelibrary.wiley.com/journal/15213978,Physical Sciences & Engineering,General & Introductory Physics,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,46,67,12,1953,VOL. 1,1,1997,45,12,,2.434,
2246,1434-2944,1522-2632,INTERNATIONAL REVIEW OF HYDROBIOLOGY,#N/A,14,#N/A,,10.1002/(ISSN)1522-2632,https://onlinelibrary.wiley.com/journal/15222632,Life Sciences,Freshwater Ecology,Online,E-only title. ,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2000,85,104,6,1908,VOL. 1,1-2,1999,84,1-6,,1.459,
2248,0233-111X,1521-4028,JOURNAL OF BASIC MICROBIOLOGY,#N/A,19,#N/A,,10.1002/(ISSN)1521-4028,https://onlinelibrary.wiley.com/journal/15214028,Life Sciences,Microbiology,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,38,59,12,1960,VOL. 1,1,1997,37,6,,1.585,
2250,0936-7195,1522-2608,GAMM - MITTEILUNGEN,#N/A,15,#N/A,,10.1002/(ISSN)1522-2608,https://onlinelibrary.wiley.com/journal/15222608,Mathematics & Statistics,General & Introductory Mathematics,Print & Online,,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2007,30,42,4,,,,,,,Gesellschaft für Angewandte Mathematik und Mechanik,,
2256,0942-5616,1521-3870,MATHEMATICAL LOGIC QUARTERLY,#N/A,46,#N/A,,10.1002/(ISSN)1521-3870,https://onlinelibrary.wiley.com/journal/15213870,Mathematics & Statistics,Logic & Foundations,Online,E-only title. ,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2000,46,65,4,1955,VOL. 1,1,1999,45,1-4,,0.165,
2257,0003-3804,1521-3889,ANNALEN DER PHYSIK,#N/A,211,#N/A,,10.1002/(ISSN)1521-3889,https://onlinelibrary.wiley.com/journal/15213889,Physical Sciences & Engineering,General & Introductory Physics,Online,2018 E-only title ,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,510,531,12,1799,VOL. 1,1,1997,509,8,,3.039,
2258,1615-4150,1615-4169,ADVANCED SYNTHESIS & CATALYSIS,#N/A,38,#N/A,,10.1002/(ISSN)1615-4169,https://onlinelibrary.wiley.com/journal/16154169,Chemistry,Organic Chemistry,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1999,341,361,24,1834,VOL. 1,1,1998,340,8,,6.453,
2259,1615-9306,1615-9314,JOURNAL OF SEPARATION SCIENCE,#N/A,3,#N/A,,10.1002/(ISSN)1615-9314,https://onlinelibrary.wiley.com/journal/16159314,Chemistry,Chromatography / Separation Techniques,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,21,42,24,1978,VOL. 1,1,1997,20,12,,2.557,
2260,0044-2313,1521-3749,ZEITSCHRIFT FüR ANORGANISCHE UND ALLGEMEINE CHEMIE,#N/A,295,#N/A,,10.1002/(ISSN)1521-3749,https://onlinelibrary.wiley.com/journal/15213749,Chemistry,Inorganic Chemistry,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,624,645,24,1892,VOL. 1,1,1997,623,12,,1.261,
2261,1022-1352,1521-3935,MACROMOLECULAR CHEMISTRY AND PHYSICS,#N/A,199,#N/A,,10.1002/(ISSN)1521-3935,https://onlinelibrary.wiley.com/journal/15213935,Physical Sciences & Engineering,Polymer Science & Technology General,Online,2018 E-only title ,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,199,220,24,1947,VOL. 1,1,1997,198,12,,,
2262,1022-1344,1521-3919,MACROMOLECULAR THEORY AND SIMULATIONS,#N/A,100,#N/A,,10.1002/(ISSN)1521-3919,https://onlinelibrary.wiley.com/journal/15213919,Physical Sciences & Engineering,Polymer Science & Technology General,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,8,28,6,1992,VOL. 1,1,1997,7,6,,2.294,
