Last Updated,02/10/18,.,WILEY CONFIDENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley Online Library Journals List  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Code used by Wiley ,ISSN,eSSN,Title,Price,2017 Usage,Cost per use,FTE Band (if applicable),Journal DOI,Wiley  Online Library URL,General Subject Category,Primary Subject Area,Media,External notes PRICING,POD availability,Online Open,Included in Database Model,Full Collection,STM Collection,SSH Collection,Medicine & Nursing Collection,Not in any Standard Collections,R4L Collection,INASP Collection,Collection Start year/Start year for Current Sub,Collection Start Volume/Start Vol for current Sub,Current Year Volume,Current Year Issue,Backfile Start Year,Backfile Start Volume,Backfile Start Issue,Backfile End Year,Backfile End Volume,Backfile End Issue,Society Name,2018 Impact Factor,
JANE,0021-8790,1365-2656,JOURNAL OF ANIMAL ECOLOGY,2158,1133,$1.90,,10.1111/(ISSN)1365-2656,https://besjournals.onlinelibrary.wiley.com/journal/13652656,Life Sciences,Animal Ecology,Online,2019 E-Only Title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,67,88,12,,,,,,,British Ecological Society,4.474,
JAOC,1055-3835,2161-1874,JOURNAL OF ADDICTIONS & OFFENDER COUNSELING,146,2,$73.00,,10.1002/(ISSN)2161-1874,https://onlinelibrary.wiley.com/journal/21611874,Psychology,Psychotherapy & Counseling,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,17,40,2,1980,,,1996,,,American Counseling Association (ACA),,
JAPP,0264-3758,1468-5930,JOURNAL OF APPLIED PHILOSOPHY,1309,108,$12.12,,10.1111/(ISSN)1468-5930,https://onlinelibrary.wiley.com/journal/14685930,Humanities,Applied Ethics,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,14,36,5,1984,VOL. 1,1,1996,13,3,Society for Applied Philosophy,1.132,
JAR,1360-2322,1468-3148,JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES,1164,0,#DIV/0!,,10.1111/(ISSN)1468-3148,https://onlinelibrary.wiley.com/journal/14683148,"Nursing, Dentistry & Healthcare",Intellectual Disability,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,Medicine & Nursing Collection,,,INASP Collection,1997,10,32,6,1988,VOL. 1,1,1996,9,4,British Institute of Learning Disabilities,2.112,
JASP,0021-9029,1559-1816,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,2304,787,$2.93,,10.1111/(ISSN)1559-1816,https://onlinelibrary.wiley.com/journal/15591816,Psychology,Applied Social Psychology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,27,49,12,1971,VOL. 1,1,1996,26,24,,1.006,
JAT,0260-437X,1099-1263,JOURNAL OF APPLIED TOXICOLOGY,5149,210,$24.52,,10.1002/(ISSN)1099-1263,https://onlinelibrary.wiley.com/journal/10991263,Chemistry,Toxicology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,16,39,12,1981,VOL. 1,1,1995,15,6,,2.722,
JAV,0908-8857,1600-048X,JOURNAL OF AVIAN BIOLOGY,655,941,$0.70,,10.1111/(ISSN)1600-048X,https://onlinelibrary.wiley.com/journal/1600048X,Life Sciences,Ornithology,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2000,31,50,12,,,,,,,Nordic Society Oikos,2.228,
JAWR,1093-474X,1752-1688,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,793,358,$2.22,,10.1111/(ISSN)1752-1688,https://onlinelibrary.wiley.com/journal/17521688,"Earth, Space & Environmental Sciences",Environmental Science,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,33,55,6,1967,VOL. 3,1,1996,32,6,American Water Resources Association,1.717,
JBFA,0306-686X,1468-5957,JOURNAL OF BUSINESS FINANCE & ACCOUNTING,3036,129,$23.53,,10.1111/(ISSN)1468-5957,https://onlinelibrary.wiley.com/journal/14685957,"Business, Economics, Finance & Accounting",Corporate Finance,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,24,46,5,1974,VOL. 1,1,1996,23,9-10,,1.276,
JBG,0931-2668,1439-0388,JOURNAL OF ANIMAL BREEDING AND GENETICS,2684,0,#DIV/0!,,10.1111/(ISSN)1439-0388,https://onlinelibrary.wiley.com/journal/14390388,Life Sciences,Animal Genetics,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1999,116,136,6,,,,,,,,1.745,
JBI,0305-0270,1365-2699,JOURNAL OF BIOGEOGRAPHY,#N/A,837,#N/A,,10.1111/(ISSN)1365-2699,https://onlinelibrary.wiley.com/journal/13652699,Life Sciences,Conservation Science,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,24,46,12,,,,,,,,4.248,
JBL,0735-3766,2158-1592,JOURNAL OF BUSINESS LOGISTICS,330,22,$15.00,,10.1002/(ISSN)2158-1592,https://onlinelibrary.wiley.com/journal/21581592,"Business, Economics, Finance & Accounting",Management,Online,E-only title,Yes,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,2001,22,40,4,,,,,,,Council of Supply Chain Management Professionals,2.878,
JBM,1549-3296,1552-4965,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,#N/A,384,#N/A,,10.1002/(ISSN)1552-4965,https://onlinelibrary.wiley.com/journal/15524965,Physical Sciences & Engineering,Polymer Science & Technology General,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,30,107,12,1967,VOL. 1,1,1995,29,12,Society for Biomaterials,3.076,
JBMB,1552-4973,1552-4981,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B: APPLIED BIOMATERIALS,#N/A,499,#N/A,,10.1002/(ISSN)1552-4981,https://onlinelibrary.wiley.com/journal/15524965,Physical Sciences & Engineering,Polymer Science & Technology General,Online,Part Title - E-only title,,Yes,Yes,,,,,Not in any Standard Collection,,,,,107,8,,,,,,,Society for Biomaterials,3.189,
JBMR,0884-0431,1523-4681,JOURNAL OF BONE AND MINERAL RESEARCH,1218,2257,$0.54,,10.1002/(ISSN)1523-4681,https://onlinelibrary.wiley.com/journal/15234681,Life Sciences,Anatomy & Physiology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,12,34,12,1986,1,1,1996,11,12,American Society for Bone and Mineral Research,6.284,
JBT,1095-6670,1099-0461,JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY,1620,63,$25.71,,10.1002/(ISSN)1099-0461,https://onlinelibrary.wiley.com/journal/10990461,Chemistry,Toxicology,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,12,33,12,1986,VOL. 1,1,1995,11,6,,2.042,
JCA,0733-2459,1098-1101,JOURNAL OF CLINICAL APHERESIS,2484,177,$14.03,,10.1002/(ISSN)1098-1101,https://onlinelibrary.wiley.com/journal/10981101,Medicine,Hematology,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1996,11,34,6,1982,VOL. 1,1,1995,10,4,American Society for Apheresis,1.835,
JCAD,0748-9633,1556-6676,JOURNAL OF COUNSELING & DEVELOPMENT,456,78,$5.85,,10.1002/(ISSN)1556-6676,https://onlinelibrary.wiley.com/journal/15566676,Psychology,Psychotherapy & Counseling,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,88,97,4,1921,VOL. 1,1,1996,75,2,American Counseling Association (ACA),0.545,
JCAF,1044-8136,1097-0053,JOURNAL OF CORPORATE ACCOUNTING & FINANCE,1335,32,$41.72,,10.1002/(ISSN)1097-0053,https://onlinelibrary.wiley.com/journal/10970053,"Business, Economics, Finance & Accounting",Corporate Finance,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1999,10,30,4,1989,VOL. 1,1,1998,10,1,,,
JCAL,0266-4909,1365-2729,JOURNAL OF COMPUTER ASSISTED LEARNING,2097,96,$21.84,,10.1111/(ISSN)1365-2729,https://onlinelibrary.wiley.com/journal/13652729,Social & Behavioral Sciences,General & Introductory Education,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,13,35,6,1985,VOL. 1,1,1996,12,4,,1.253,
JCAP,1073-6077,1744-6171,JOURNAL OF CHILD AND ADOLESCENT PSYCHIATRICNURSING,370,100,$3.70,,10.1111/(ISSN)1744-6171,https://onlinelibrary.wiley.com/journal/17446171,"Nursing, Dentistry & Healthcare",Nursing General,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,10,32,4,1988,VOL. 1,1,1996,9,4,Association of Child and Adolescent Psychiatric Nurses,,
JCB,0730-2312,1097-4644,JOURNAL OF CELLULAR BIOCHEMISTRY,16829,1245,$13.52,,10.1002/(ISSN)1097-4644,https://onlinelibrary.wiley.com/journal/10974644,Life Sciences,Cell Biology (Life Sciences),Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,60,120,12,1972,VOL. 1,1,1995,59,4,,3.085,
JCC,0192-8651,1096-987X,JOURNAL OF COMPUTATIONAL CHEMISTRY,6062,846,$7.17,,10.1002/(ISSN)1096-987X,https://onlinelibrary.wiley.com/journal/1096987X,Chemistry,Computational Chemistry & Molecular Modeling,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,17,40,32,1980,VOL. 1,1,1995,16,12,,3.648,
JCCM,0966-0879,1468-5973,JOURNAL OF CONTINGENCIES AND CRISIS MANAGEMENT,1183,61,$19.39,,10.1111/(ISSN)1468-5973,https://onlinelibrary.wiley.com/journal/14685973,Social & Behavioral Sciences,General & Introductory Political Science,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,5,27,4,1993,VOL. 1,1,1996,4,4,,1.373,
JCD,1063-8539,1520-6610,JOURNAL OF COMBINATORIAL DESIGNS,#N/A,9,#N/A,,10.1002/(ISSN)1520-6610,https://onlinelibrary.wiley.com/journal/15206610,Mathematics & Statistics,General & Introductory Mathematics,Print & Online,Part title  ,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,4,27,11,1993,VOL. 1,1,1995,3,6,,0.701,
JCE,1045-3873,1540-8167,JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY,1390,0,#DIV/0!,,10.1111/(ISSN)1540-8167,https://onlinelibrary.wiley.com/journal/15408167,Medicine,Cardiovascular Disease,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,8,30,12,1983,VOL. 1,1,1996,7,12,,3.068,
JCLP,0021-9762,1097-4679,JOURNAL OF CLINICAL PSYCHOLOGY,1553,311,$4.99,,10.1002/(ISSN)1097-4679,https://onlinelibrary.wiley.com/journal/10974679,Psychology,Clinical Psychology,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1996,52,75,12,1945,VOL. 1,1,1995,51,6,,2.123,
JCMS,0021-9886,1468-5965,JCMS: JOURNAL OF COMMON MARKET STUDIES,2302,194,$11.87,,10.1111/(ISSN)1468-5965,https://onlinelibrary.wiley.com/journal/14685965,Social & Behavioral Sciences,General & Introductory Political Science,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,35,57,8,1962,VOL. 1,1,1996,34,4,University Association for Contemporary European Studies,2.243,
JCOP,0090-4392,1520-6629,JOURNAL OF COMMUNITY PSYCHOLOGY,1336,121,$11.04,,10.1002/(ISSN)1520-6629,https://onlinelibrary.wiley.com/journal/15206629,Psychology,General Psychology,Online,E-only title,Yes,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1996,24,47,8,1973,VOL. 1,1,1995,23,4,,0.860,
JCP,0021-9541,1097-4652,JOURNAL OF CELLULAR PHYSIOLOGY,16708,1739,$9.61,,10.1002/(ISSN)1097-4652,https://onlinelibrary.wiley.com/journal/10974652,Life Sciences,Genomics & Proteomics,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,166,234,12,1932,VOL. 1,1,1995,165,3,,4.080,
JCPE,0303-6979,1600-051X,JOURNAL OF CLINICAL PERIODONTOLOGY,1763,99,$17.81,,10.1111/(ISSN)1600-051X,https://onlinelibrary.wiley.com/journal/1600051X,"Nursing, Dentistry & Healthcare",Periodontology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,24,46,12,1974,VOL. 1,1,1996,23,12,European Federation of Periodontology,3.477,
JCPH,0091-2700,1552-4604,JOURNAL OF CLINICAL PHARMACOLOGY,#N/A,0,#N/A,,10.1002/(ISSN)1552-4604,https://accp1.onlinelibrary.wiley.com/journal/15524604,Medicine,Clinical Pharmacology & Therapeutics,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,37,59,13,1961,,1,1996,36,12,American College of Clinical Pharmacology,2.812,
JCPP,0021-9630,1469-7610,THE JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,1279,869,$1.47,,10.1111/(ISSN)1469-7610,https://onlinelibrary.wiley.com/journal/14697610,Psychology,Developmental Psychology,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,Medicine & Nursing Collection,,,INASP Collection,1997,38,60,12,1960,VOL. 1,1,1996,37,8,Association for Child and Adolescent Mental Health,6.226,
JCPT,0269-4727,1365-2710,JOURNAL OF CLINICAL PHARMACY & THERAPEUTICS,2710,199,$13.62,,10.1111/(ISSN)1365-2710,https://onlinelibrary.wiley.com/journal/13652710,Medicine,Pharmacology & Pharmaceutical Medicine,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,22,44,6,1976,VOL. 1,1,1996,21,6,,1.679,
JCPY,1057-7408,1532-7663,JOURNAL OF CONSUMER PSYCHOLOGY,1241,1,"$1,241.00",,10.1002/(ISSN)1532-7663,https://onlinelibrary.wiley.com/journal/15327663,"Business, Economics, Finance & Accounting",Business & Management Special Topics,Print & Online,,,No,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,6,29,4,1992,VOL. 1,1,1996,5,4,Society for Consumer Psychology,3.385,
JCR,0021-8898,1600-5767,JOURNAL OF APPLIED CRYSTALLOGRAPHY,1341,43,$31.19,,10.1107/S16005767,https://onlinelibrary.wiley.com/journal/S16005767,"Earth, Space & Environmental Sciences",Crystallography,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,30,52,6,1968,VOL. 1,1,1996,29,6,International Union of Crystallography,,
JCTB,0268-2575,1097-4660,JOURNAL OF CHEMICAL TECHNOLOGY & BIOTECHNOLOGY,4207,409,$10.29,,10.1002/(ISSN)1097-4660,https://onlinelibrary.wiley.com/journal/10974660,Chemistry,General & Introductory Chemical Engineering,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,65,94,12,1882,VOL. 1,1,1995,64,4,Society of Chemical Industry,3.135,
JCU,0091-2751,1097-0096,JOURNAL OF CLINICAL ULTRASOUND,2659,130,$20.45,,10.1002/(ISSN)1097-0096,https://onlinelibrary.wiley.com/journal/10970096,Medicine,Radiology & Imaging,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1996,24,47,9,1973,VOL. 1,1,1995,23,9,,0.906,
JDB,1753-0393,1753-0407,JOURNAL OF DIABETES,1469,90,$16.32,FTE-Small,10.1111/(ISSN)1753-0407,https://onlinelibrary.wiley.com/journal/17530407,Medicine,Diabetes,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,2009,1,11,12,,,,,,,Chinese Society of Endocrinology,3.039,
JDE,0385-2407,1346-8138,THE JOURNAL OF DERMATOLOGY,1353,434,$3.12,,10.1111/(ISSN)1346-8138,https://onlinelibrary.wiley.com/journal/13468138,Medicine,Dermatology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,24,46,12,1974,,,1996,,,Japanese Dermatological Association,2.094,
JDV,0926-9959,1468-3083,JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY &VENEREOLOGY,5087,755,$6.74,,10.1111/(ISSN)1468-3083,https://onlinelibrary.wiley.com/journal/14683083,Medicine,Dermatology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,8,33,12,1991,VOL. 1,S1,1996,7,3,European Academy of Dermatology and Venereology,3.528,
JEAB,0022-5002,1938-3711,JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,258,45,$5.73,,10.1002/(ISSN)1938-3711,https://onlinelibrary.wiley.com/journal/19383711,Psychology,General Psychology,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,67,111-112,6,1958,,1,1996,66,3,Society for the Experimental Analysis of Behavior,2.171,
JEB,1010-061X,1420-9101,JOURNAL OF EVOLUTIONARY BIOLOGY,4049,1799,$2.25,,10.1111/(ISSN)1420-9101,https://onlinelibrary.wiley.com/journal/14209101,Life Sciences,Evolution,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,10,32,12,,,,,,,European Society for Evolutionary Biology,2.792,
JEBM,1756-5383,1756-5391,JOURNAL OF EVIDENCE BASED MEDICINE,#N/A,32,#N/A,FTE-Small,10.1111/(ISSN)1756-5391,https://onlinelibrary.wiley.com/journal/17565391,Medicine,Evidence-Based Health Care,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,2008,1,12,4,,,,,,,"Chinese Cochrane Center, West China Hospital of Sichuan University",,
JEC,0022-0477,1365-2745,JOURNAL OF ECOLOGY,2257,1363,$1.66,,10.1111/(ISSN)1365-2745,https://besjournals.onlinelibrary.wiley.com/journal/13652745,Life Sciences,Plant Ecology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,86,107,6,,,,,,,British Ecological Society,6.180,
JECS,1754-0194,1754-0208,JOURNAL FOR EIGHTEENTH-CENTURY STUDIES,806,68,$11.85,,10.1111/(ISSN)1754-0208,https://onlinelibrary.wiley.com/journal/17540208,Humanities,Modern History (1780-1900),Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,20,42,4,1972,A1,1,1996,19,2,British Society for Eighteenth-Century Studies,,
JEDM,0022-0655,1745-3984,JOURNAL OF EDUCATIONAL MEASUREMENT,#N/A,32,#N/A,,10.1111/(ISSN)1745-3984,https://onlinelibrary.wiley.com/journal/17453984,Social & Behavioral Sciences,Educational Research & Statistics,Print & Online,,,No,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,34,56,4,1964,1,1,1996,33,4,National Council on Measurement in Education,1.528,
JEE,1069-4730,2168-9830,JOURNAL OF ENGINEERING EDUCATION,645,156,$4.13,,10.1002/(ISSN)2168-9830,https://onlinelibrary.wiley.com/journal/21689830,Physical Sciences & Engineering,General & Introductory Electrical & Electronics Engineering,Print & Online,,,No,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,86,108,4,1993,,,1996,,,American Society for Engineering Education,3.047,
JELS,1740-1453,1740-1461,JOURNAL OF EMPIRICAL LEGAL STUDIES,711,869,$0.82,,10.1111/(ISSN)1740-1461,https://onlinelibrary.wiley.com/journal/17401461,Law & Criminology,General & Introductory Law,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,2004,1,16,4,,,,,,,Society for Empirical Legal Studies,1.528,
JEMS,1058-6407,1530-9134,JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,614,204,$3.01,,10.1111/(ISSN)1530-9134,https://onlinelibrary.wiley.com/journal/15309134,"Business, Economics, Finance & Accounting",Financial Economics,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,6,28,4,1992,VOL. 1,1,1996,5,4,,0.912,
JEMT,1059-910X,1097-0029,MICROSCOPY RESEARCH AND TECHNIQUE,13507,283,$47.73,,10.1002/(ISSN)1097-0029,https://onlinelibrary.wiley.com/journal/10970029,Life Sciences,Microscopy,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,33,82,12,1984,VOL. 1,1,1995,32,6,,1.147,
JEN,0931-2048,1439-0418,JOURNAL OF APPLIED ENTOMOLOGY,4088,6,$681.33,,10.1111/(ISSN)1439-0418,https://onlinelibrary.wiley.com/journal/14390418,Life Sciences,Entomology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,121,143,9,1914,VOL. 1,1,1996,120,1-5,,1.641,
JEP,1356-1294,1365-2753,JOURNAL OF EVALUATION IN CLINICAL PRACTICE,2272,257,$8.84,,10.1111/(ISSN)1365-2753,https://onlinelibrary.wiley.com/journal/13652753,"Nursing, Dentistry & Healthcare",Consumer Health General,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,3,25,6,1995,VOL. 1,1,1996,2,4,,1.250,
JERD,1496-4155,1708-8240,JOURNAL OF ESTHETIC AND RESTORATIVE DENTISTRY,1085,22,$49.32,,10.1111/(ISSN)1708-8240,https://onlinelibrary.wiley.com/journal/17088240,"Nursing, Dentistry & Healthcare",Esthetic Dentistry,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,9,31,6,1988,VOL. 1,1,1996,8,6,American Academy of Esthetic Dentistry,1.273,
JERE,1352-4739,1468-5876,THE JAPANESE ECONOMIC REVIEW,336,16,$21.00,,10.1111/(ISSN)1468-5876,https://onlinelibrary.wiley.com/journal/14685876,"Business, Economics, Finance & Accounting",General & Introductory Economics,Print & Online,,,No,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,48,70,4,1995,VOL. 46,1,1996,47,4,Japanese Economic Association,0.393,
JEU,1066-5234,1550-7408,THE JOURNAL OF EUKARYOTIC MICROBIOLOGY,595,50,$11.90,,10.1111/(ISSN)1550-7408,https://onlinelibrary.wiley.com/journal/15507408,Life Sciences,Microbiology,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,44,66,6,1954,VOL. 1,1,1996,43,6,International Society of Protistologists,2.692,
JEZ,2471-5638,2471-5646,JOURNAL OF EXPERIMENTAL ZOOLOGY PART A:ECOLOGICAL AND INTEGRATIVE PHYSIOLOGY,#N/A,194,#N/A,,10.1002/(ISSN)2471-5646,https://onlinelibrary.wiley.com/journal/24715646,Life Sciences,Ecology & Organismal Biology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,274,331,10,1904,VOL. 1,1,1995,273,6,Society for Integrative & Comparative Biology,1.280,
JEZB,1552-5007,1552-5015,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B MOLECULAR AND DEVELOPMENTAL EVOLUTION,#N/A,161,#N/A,,10.1002/(ISSN)1552-5015,https://onlinelibrary.wiley.com/journal/15525015,Life Sciences,Ecology & Organismal Biology,Print & Online,Part title  ,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,,,332,8,,,,,,,,2.387,
JFB,0022-1112,1095-8649,JOURNAL OF FISH BIOLOGY,6614,493,$13.42,,10.1111/(ISSN)1095-8649,https://onlinelibrary.wiley.com/journal/10958649,"Agriculture, Aquaculture & Food Science","General Aquaculture, Fisheries & Fish Science",Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,50,94-95,12,1969,VOL. 1,1,1996,49,6,Fisheries Society of the British Isles,1.519,
JFBC,0145-8884,1745-4514,JOURNAL OF FOOD BIOCHEMISTRY,714,114,$6.26,,10.1111/(ISSN)1745-4514,https://onlinelibrary.wiley.com/journal/17454514,"Agriculture, Aquaculture & Food Science",General & Introductory Food Science & Technology,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,21,43,12,1977,VOL. 1,1,1996,20,6,,1.000,
JFCJ,0161-7109,1755-6988,JUVENILE AND FAMILY COURT JOURNAL,418,0,#DIV/0!,,10.1111/(ISSN)1755-6988,https://onlinelibrary.wiley.com/journal/17556988,Law & Criminology,Civil Law,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,48,70,4,1949,VOL. 1,1,1996,47,4,National Council of Juvenile and Family Court Judges,0.348,
JFD,0140-7775,1365-2761,JOURNAL OF FISH DISEASES,3949,362,$10.91,,10.1111/(ISSN)1365-2761,https://onlinelibrary.wiley.com/journal/13652761,"Agriculture, Aquaculture & Food Science","General Aquaculture, Fisheries & Fish Science",Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,20,42,12,1978,VOL. 1,1,1996,19,6,,2.138,
JFDS,0022-1147,1750-3841,JOURNAL OF FOOD SCIENCE,1201,2838,$0.42,,10.1111/(ISSN)1750-3841,https://onlinelibrary.wiley.com/journal/17503841,"Agriculture, Aquaculture & Food Science",General & Introductory Food Science & Technology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,62,84,12,1936,VOL. 1,1,1996,61,6,Institute of Food Technologists,1.815,
JFIR,0270-2592,1475-6803,THE JOURNAL OF FINANCIAL RESEARCH,624,37,$16.86,,10.1111/(ISSN)1475-6803,https://onlinelibrary.wiley.com/journal/14756803,"Business, Economics, Finance & Accounting",General Finance & Investments,Print & Online,,,No,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1998,21,42,4,1978,VOL. 1,,1997,,,Southern Finance Association and the Southwestern Finance Association,,
JFO,0022-1198,1556-4029,JOURNAL OF FORENSIC SCIENCES,777,256,$3.04,,10.1111/(ISSN)1556-4029,https://onlinelibrary.wiley.com/journal/15564029,Life Sciences,Forensic Science,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,2006,51,64,6,,,,,,,American Academy of Forensic Sciences,1.322,
JFPE,0145-8876,1745-4530,JOURNAL OF FOOD PROCESS ENGINEERING,738,179,$4.12,,10.1111/(ISSN)1745-4530,https://onlinelibrary.wiley.com/journal/17454530,"Agriculture, Aquaculture & Food Science",General & Introductory Food Science & Technology,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,20,42,8,1977,VOL. 1,1,1996,19,4,,1.370,
JFPP,0145-8892,1745-4549,JOURNAL OF FOOD PROCESSING AND PRESERVATION,687,359,$1.91,,10.1111/(ISSN)1745-4549,https://onlinelibrary.wiley.com/journal/17454549,"Agriculture, Aquaculture & Food Science",General & Introductory Food Science & Technology,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,21,43,12,1977,VOL. 1,1,1996,20,6,,0.791,
JFR3,,1753-318X,JOURNAL OF FLOOD RISK MANAGEMENT,1174,#N/A,#N/A,FTE-Small,10.1111/(ISSN)1753-318X,https://onlinelibrary.wiley.com/journal/1753318X,"Earth, Space & Environmental Sciences",Water Resource Management,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2008,1,12,4,,,,,,,Chartered Institution of Water and Environmental Management,2.483,
