Journal Report 5 (R4),Number of Successful Full-Text Article Requests by Year-of-Publication (YOP) and Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 to 2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Articles In Press   ,YOP 2016            ,YOP 2015            ,YOP 2014            ,YOP 2013            ,YOP 2012            ,YOP 2011            ,YOP 2010            ,YOP 2009            ,YOP 2008            ,YOP 2007            ,YOP 2006            ,YOP 2005            ,YOP 2004            ,YOP 2003            ,YOP 2002            ,YOP 2001            ,YOP 2000            ,YOP 1999            ,YOP 1998            ,YOP 1997            ,YOP 1996            ,YOP 1995            ,YOP 1994            ,YOP 1993            ,YOP 1992            ,YOP 1991            ,YOP 1990            ,YOP Pre 1990        
Acta Crystallographica Section D,John Wiley and Sons,Wiley Online Library,10.1107/S13990047,AYD2                ,1399-0047    ,1399-0047    ,0,0,11,5,11,2,0,6,0,1,2,1,1,0,1,1,3,9,3,1,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section E,John Wiley and Sons,Wiley Online Library,10.1107/S16005368,AYE2                ,1600-5368    ,1600-5368    ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section F,John Wiley and Sons,Wiley Online Library,10.1107/S2053230X,AYF2                ,2053-230X    ,2053-230X    ,0,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section F,John Wiley and Sons,Wiley Online Library,10.1107/S17443091,AYF2                ,1744-3091    ,1744-3091    ,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Geologica Sinica - English Edition,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-6724,ACGS                ,1000-9515    ,1755-6724    ,0,24,8,9,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Medica Austriaca,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1563-2571,AMA                 ,0303-8173    ,1563-2571    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Acta Medica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)0954-6820a,JOIM                ,0001-6101    ,0954-6820    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
Acta Neurologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0404,ANE                 ,0001-6314    ,1600-0404    ,4,39,21,9,18,10,9,2,10,7,17,24,13,9,14,4,5,2,1,7,3,3,2,7,3,4,2,5,51
Acta Neuropsychiatrica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1601-5215,ACN                 ,0924-2708    ,1601-5215    ,0,0,0,0,0,5,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Obstetricia et Gynecologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0412,AOGS                ,0001-6349    ,1600-0412    ,0,78,27,24,22,26,10,20,11,5,6,8,14,8,11,8,6,6,3,2,6,1,0,0,0,1,0,0,0
Acta Ophthalmologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-3768,AOS                 ,1755-375X    ,1755-3768    ,11,71,15,3,19,23,11,14,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,25
Acta Ophthalmologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0420,AOS                 ,1395-3907    ,1600-0420    ,0,0,0,0,0,0,0,0,0,0,2,9,3,11,6,8,8,8,3,3,3,2,1,0,0,0,0,0,0
Acta Paediatrica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1651-2227,APA                 ,0803-5253    ,1651-2227    ,0,95,97,23,24,23,37,23,20,31,50,25,10,11,8,9,7,3,3,7,6,12,10,8,5,3,4,4,47
Acta Pathologica Microbiologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463h,APM                 ,0365-5555    ,1600-0463    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Acta Pathologica Microbiologica Scandinavica Section A Pathology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463d,APM                 ,0365-4184    ,1600-0463    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Acta Pathologica Microbiologica Scandinavica Section B Microbiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463e,APM                 ,0304-131X    ,1600-0463    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Acta Pathologica Microbiologica Scandinavica Section B Microbiology and Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463g,APM                 ,0365-5563    ,1600-0463    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Acta Pathologica Microbiologica Scandinavica Series B: Microbiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463b,APM                 ,0108-0180    ,1600-0463    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Acta Pharmacologica Sinica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-7254,APHS                ,1671-4083    ,1745-7254    ,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Pharmacologica et Toxicologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0773,BCPT                ,0001-6683    ,1600-0773    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Acta Physiologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1748-1716,APHA                ,1748-1708    ,1748-1716    ,0,41,63,23,7,12,7,4,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Physiologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-201X,APHA                ,0001-6772    ,1365-201X    ,0,0,0,0,0,0,0,0,0,0,0,0,5,11,7,3,6,8,8,10,15,5,2,12,7,4,3,3,97
Acta Polymerica,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4044,APOL                ,0323-7648    ,1521-4044    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,3,0,0,0,0,0,0,0
Acta Psychiatrica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0447,ACPS                ,0001-690X    ,1600-0447    ,0,80,26,26,13,19,25,24,22,18,32,10,11,13,5,17,27,12,9,16,4,25,9,3,14,3,8,3,79
Acta Radiologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0455,ARD                 ,0284-1851    ,1600-0455    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Zoologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1463-6395,AZO                 ,0001-7272    ,1463-6395    ,3,5,3,0,2,8,0,0,3,2,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0
Acta hydrochimica et hydrobiologica,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-401X,AHEH                ,0323-4320    ,1521-401X    ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,8
AEM Education and Training,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2472-5390,AET2                ,2472-5390    ,2472-5390    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIChE Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1547-5905,AIC                 ,0001-1541    ,1547-5905    ,0,345,133,138,91,69,59,31,15,20,26,23,13,50,57,5,30,18,12,14,11,13,11,19,19,17,8,8,314
Acute Medicine & Surgery,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2052-8817,AMS2                ,2052-8817    ,2052-8817    ,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addiction,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1360-0443,ADD                 ,0965-2140    ,1360-0443    ,0,168,58,49,43,33,30,36,60,101,21,21,29,10,14,19,3,12,13,3,9,1,0,8,7,0,0,0,0
Addiction Biology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1369-1600,ADB                 ,1355-6215    ,1369-1600    ,40,58,16,10,3,5,4,4,2,3,9,3,0,0,0,1,0,1,5,3,0,2,0,0,0,0,0,0,0
Adultspan Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2161-0029,ADSP                ,1524-6817    ,2161-0029    ,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Electronic Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2199-160X,AELM                ,2199-160X    ,2199-160X    ,0,282,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Energy Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1614-6840,AENM                ,1614-6832    ,1614-6840    ,0,1106,693,283,75,166,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Engineering Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1527-2648,ADEM                ,1438-1656    ,1527-2648    ,5,142,11,19,10,16,18,3,7,3,0,2,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Functional Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1616-3028,ADFM                ,1616-301X    ,1616-3028    ,0,1691,571,438,384,297,189,150,69,51,35,24,42,18,19,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Healthcare Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2192-2659,ADHM                ,2192-2640    ,2192-2659    ,2,670,188,96,97,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4095,ADMA                ,0935-9648    ,1521-4095    ,0,4863,1613,746,712,777,477,460,203,213,147,107,97,99,118,44,53,41,26,28,17,15,10,12,8,8,7,4,1
Advanced Materials Interfaces,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2196-7350,ADMI                ,2196-7350    ,2196-7350    ,0,465,83,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Materials Technologies,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2365-709X,ADMT                ,2365-709X    ,2365-709X    ,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Materials for Optics and Electronics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0712,AMO                 ,1057-9257    ,1099-0712    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Advanced Optical Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2195-1071,ADOM                ,2195-1071    ,2195-1071    ,1,193,49,53,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2198-3844,ADVS                ,2198-3844    ,2198-3844    ,0,193,94,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Synthesis & Catalysis,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1615-4169,ADSC                ,1615-4150    ,1615-4169    ,0,121,66,49,35,36,33,46,24,27,33,24,13,25,13,9,6,0,0,0,0,0,0,0,0,0,0,0,0
Advances in Polymer Technology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2329,ADV                 ,0730-6679    ,1098-2329    ,42,6,6,8,12,0,0,0,0,2,2,0,2,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0
"Africa Research Bulletin: Economic, Financial and Technical Series",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6346,ARBE                ,0001-9852    ,1467-6346    ,0,5,10,8,16,7,11,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Africa Research Bulletin: Political, Social and Cultural Series",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-825X,ARBP                ,0001-9844    ,1467-825X    ,0,6,6,7,1,1,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
African Development Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8268,AFDR                ,1017-6772    ,1467-8268    ,0,12,14,2,1,4,4,1,1,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
African Journal of Ecology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2028,AJE                 ,0141-6707    ,1365-2028    ,5,15,9,7,12,15,4,16,2,7,2,2,4,0,11,1,4,0,1,3,4,0,0,0,0,0,0,0,0
Aggressive Behavior,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2337,AB                  ,0096-140X    ,1098-2337    ,0,14,16,12,6,3,5,2,3,0,1,1,1,1,3,2,1,0,3,0,1,0,0,0,0,0,0,0,0
Aging Cell,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1474-9726,ACEL                ,1474-9718    ,1474-9726    ,6,154,117,55,70,46,28,41,31,56,49,33,4,18,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Agribusiness,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6297,AGR                 ,0742-4477    ,1520-6297    ,2,29,10,10,19,11,11,7,1,3,5,4,3,0,2,5,2,7,0,2,0,0,2,1,0,1,2,0,2
Agricultural Economics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1574-0862,AGEC                ,0169-5150    ,1574-0862    ,0,129,63,35,59,16,41,36,44,53,45,28,32,13,6,1,13,13,0,0,0,0,0,0,0,0,0,0,0
Agricultural and Forest Entomology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1461-9563,AFE                 ,1461-9555    ,1461-9563    ,0,49,15,16,11,8,0,21,9,4,10,4,7,2,1,12,8,4,19,0,0,0,0,0,0,0,0,0,0
Alcoholism & Drug Abuse Weekly,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1556-7591,ADAW                ,1042-1394    ,1556-7591    ,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcoholism: Clinical and Experimental Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1530-0277,ACER                ,0145-6008    ,1530-0277    ,0,131,83,24,19,28,18,18,12,18,17,12,5,15,8,4,9,7,10,22,5,13,5,3,6,7,1,3,11
Alimentary Pharmacology & Therapeutics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2036,APT                 ,0269-2813    ,1365-2036    ,0,162,129,79,52,58,53,56,46,50,58,56,25,39,32,18,37,9,8,10,11,5,12,3,1,2,2,1,1
Alimentary Pharmacology & Therapeutics Symposium Series,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1746-6342,APTS                ,1746-6334    ,1746-6342    ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1398-9995,ALL                 ,0105-4538    ,1398-9995    ,0,103,23,59,40,36,23,11,17,19,21,11,10,22,24,13,9,16,11,6,10,8,1,1,2,0,1,0,12
Alternatives to the High Cost of Litigation,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1549-4381,ALT                 ,1549-4373    ,1549-4381    ,0,5,2,3,0,0,0,0,2,0,1,1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0
American Anthropologist,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-1433,AMAN                ,0002-7294    ,1548-1433    ,0,164,131,106,85,92,37,43,29,36,14,70,26,17,10,26,29,17,10,7,11,7,0,3,2,5,5,1,458
American Business Law Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1744-1714,ABLJ                ,0002-7766    ,1744-1714    ,0,2,5,3,2,7,1,6,0,4,0,1,0,1,0,2,0,9,1,0,0,0,0,0,0,0,0,0,0
American Ethnologist,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-1425,AMET                ,0094-0496    ,1548-1425    ,0,135,74,101,72,85,31,51,25,29,50,7,21,4,14,9,4,14,7,13,7,8,13,9,6,9,6,4,46
American Journal of Anatomy,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1553-0795,AJA                 ,0002-9106    ,1553-0795    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,142
American Journal of Community Psychology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1573-2770,AJCP                ,0091-0562    ,1573-2770    ,0,31,25,3,7,26,14,4,3,25,14,1,0,2,0,1,2,0,1,1,3,0,0,0,0,0,0,0,0
American Journal of Economics and Sociology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1536-7150,AJES                ,0002-9246    ,1536-7150    ,0,22,11,13,12,13,18,2,3,1,3,1,0,5,0,0,1,1,2,1,2,0,0,0,0,0,0,0,0
American Journal of Hematology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-8652,AJH                 ,0361-8609    ,1096-8652    ,1,343,169,93,68,94,32,45,35,21,19,40,18,42,19,45,11,2,4,5,7,3,3,4,6,10,2,3,31
American Journal of Human Biology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6300,AJHB                ,1042-0533    ,1520-6300    ,0,46,19,14,9,26,14,11,16,4,2,3,10,3,0,5,5,10,1,0,1,0,2,1,5,3,2,5,0
American Journal of Industrial Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0274,AJIM                ,0271-3586    ,1097-0274    ,0,110,20,35,3,16,11,7,4,6,8,3,5,4,1,2,6,1,2,3,1,6,3,0,1,1,2,3,9
American Journal of Medical Genetics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-8628,AJMG                ,0148-7299    ,1096-8628    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,35,25,15,10,7,6,8,8,7,8,5,1,46
American Journal of Medical Genetics Part A,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1552-4833,AJMG                ,1552-4825    ,1552-4833    ,0,160,80,64,46,51,23,59,40,31,41,39,29,34,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Journal of Medical Genetics Part B: Neuropsychiatric Genetics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1552-485X,AJMG                ,1552-4841    ,1552-485X    ,0,59,8,1,13,9,8,23,8,8,4,10,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Journal of Medical Genetics Part C: Seminars in Medical Genetics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1552-4876,AJMG                ,1552-4868    ,1552-4876    ,0,21,32,7,5,14,12,1,3,6,3,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Journal of Orthopsychiatry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1939-0025,AJOP                ,0002-9432    ,1939-0025    ,0,0,0,0,8,13,6,16,5,4,7,7,3,4,3,6,2,5,4,2,1,0,0,0,2,0,0,0,23
American Journal of Physical Anthropology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-8644,AJPA                ,0002-9483    ,1096-8644    ,0,99,58,12,18,17,21,13,23,8,16,9,12,9,6,6,5,2,6,7,1,7,4,11,11,14,8,5,152
American Journal of Political Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-5907,AJPS                ,0092-5853    ,1540-5907    ,0,116,79,62,40,54,57,33,65,49,35,45,28,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Journal of Primatology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2345,AJP                 ,0275-2565    ,1098-2345    ,3,36,45,12,10,10,11,15,13,10,5,12,2,11,1,2,4,2,0,2,3,1,5,4,0,1,3,1,21
