Journal Report 1 (R4),Number of Successful Full-Text Article Requests by Month and Journal,,,,,,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,,,,,,
2016-01-01 to 2016-12-31,,,,,,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Reporting Period Total,Reporting Period HTML,Reporting Period PDF,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16
Acta Crystallographica Section F,John Wiley and Sons,Wiley Online Library,10.1107/S17443091,AYF2,1744-3091,1744-3091,5,0,5,0,0,1,0,0,0,2,0,1,1,0,0
Acta Crystallographica Section F,John Wiley and Sons,Wiley Online Library,10.1107/S2053230X,AYF2,2053-230X,2053-230X,18,0,18,0,0,3,1,2,1,0,7,1,2,1,0
Acta Crystallographica Section F,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2053-230X,AYF2,2053-230X,2053-230X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Geologica Sinica - English Edition,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-6724,ACGS,1000-9515,1755-6724,44,9,35,1,3,10,1,1,1,7,5,10,4,1,0
Acta Geologica Sinica-English,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-6724a,ACGS,0001-5717,1755-6724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta hydrochimica et hydrobiologica,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-401X,2047,0323-4320,1521-401X,14,0,14,0,4,2,1,0,0,4,0,0,2,0,1
Acta Medica Austriaca,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1563-2571,AMA,0303-8173,1563-2571,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Acta Medica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)0954-6820a,JOIM,0001-6101,0954-6820,91,13,78,7,5,6,13,11,5,3,3,7,13,8,10
Acta Neurologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0404,ANE,0001-6314,1600-0404,366,95,271,47,34,30,30,38,16,18,27,36,35,33,22
Acta Neuropsychiatrica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1601-5215,ACN,0924-2708,1601-5215,13,4,9,0,2,2,1,2,0,0,0,2,2,2,0
Acta Obstetricia et Gynecologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0412,AOGS,0001-6349,1600-0412,316,114,202,33,17,19,19,37,30,26,38,37,21,19,20
Acta Ophthalmologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-3768,AOS,1755-375X,1755-3768,281,84,197,26,14,47,20,16,7,12,32,54,35,10,8
Acta Ophthalmologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0420,AOS,1395-3907,1600-0420,67,23,44,4,7,8,3,4,3,6,5,2,10,11,4
Acta Paediatrica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1651-2227,APA,0803-5253,1651-2227,638,201,437,46,47,57,44,44,37,61,74,61,67,59,41
Acta Pathologica Microbiologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463h,APM,0365-5555,1600-0463,19,0,19,0,1,2,2,3,0,3,1,2,2,1,2
Acta Pathologica Microbiologica Scandinavica Section A Pathology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463d,APM,0365-4184,1600-0463,5,0,5,1,0,1,1,0,0,1,0,0,0,1,0
Acta Pathologica Microbiologica Scandinavica Section B Microbiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463e,APM,0304-131X,1600-0463,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1
Acta Pathologica Microbiologica Scandinavica Section B Microbiology and Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463g,APM,0365-5563,1600-0463,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Acta Pathologica Microbiologica Scandinavica Section C Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463f,APM,0304-1328,1600-0463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Pathologica Microbiologica Scandinavica Series A :Pathology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463a,APM,0108-0164,1600-0463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Pathologica Microbiologica Scandinavica Series B: Microbiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463b,APM,0108-0180,1600-0463,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Acta Pathologica Microbiologica Scandinavica Series C: Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463c,APM,0108-0202,1600-0463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Pharmacologica et Toxicologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0773,BCPT,0001-6683,1600-0773,18,0,18,1,1,0,6,1,3,0,0,4,0,2,0
Acta Pharmacologica Sinica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-7254,APHS,1671-4083,1745-7254,3,0,3,1,0,0,0,0,1,0,0,0,0,0,1
Acta Physiologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1748-1716,APHA,1748-1708,1748-1716,231,85,146,28,15,14,14,13,14,21,24,19,27,24,18
Acta Physiologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-201X,APHA,0001-6772,1365-201X,206,26,180,6,30,35,25,7,8,11,14,19,8,26,17
Acta Polymerica,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4044,2209,0323-7648,1521-4044,15,0,15,1,4,2,2,0,5,0,0,0,1,0,0
Acta Psychiatrica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0447,ACPS,0001-690X,1600-0447,559,169,390,54,34,44,44,55,44,45,45,37,61,48,48
Acta Radiologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0455,ARD,0284-1851,1600-0455,4,3,1,0,0,0,2,1,0,0,0,1,0,0,0
Acta Zoologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1463-6395,AZO,0001-7272,1463-6395,39,12,27,1,4,4,0,1,1,9,6,7,1,2,3
Acute Medicine & Surgery,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2052-8817,AMS2,2052-8817,2052-8817,10,6,4,1,2,0,1,0,0,2,1,1,2,0,0
Addiction,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1360-0443,ADD,0965-2140,1360-0443,816,389,427,39,73,67,106,55,42,55,63,55,109,101,51
Addiction Biology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1369-1600,ADB,1355-6215,1369-1600,207,97,110,9,9,31,15,7,13,17,36,35,25,5,5
Adultspan Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2161-0029,ADSP,1524-6817,2161-0029,9,1,8,0,0,0,0,0,0,0,5,1,1,2,0
Advanced Biosystems,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2366-7478,E771,2366-7478,2366-7478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Ceramic Materials,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1551-2916a, ,0883-5551,1551-2916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Electronic Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2199-160X,E707,2199-160X,2199-160X,315,172,143,27,37,19,20,15,11,38,31,40,38,20,19
Advanced Energy Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1614-6840,2528,1614-6832,1614-6840,2523,1310,1213,163,242,200,333,179,202,191,240,202,182,231,158
Advanced Engineering Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1527-2648,2266,1438-1656,1527-2648,327,132,195,21,12,20,11,17,3,24,32,58,42,68,19
Advanced Functional Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1616-3028,2126,1616-301X,1616-3028,4089,1964,2125,269,347,375,432,312,336,308,321,382,339,361,307
Advanced Healthcare Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2192-2659,2087,2192-2640,2192-2659,1124,443,681,66,94,75,91,108,91,97,79,99,108,110,106
Advanced Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4095,2089,0935-9648,1521-4095,11228,5735,5493,737,919,1018,1091,901,713,885,832,1281,1249,950,652
Advanced Materials for Optics and Electronics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0712,AMO,1057-9257,1099-0712,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Advanced Materials Interfaces,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2196-7350,E706,2196-7350,2196-7350,668,259,409,32,25,22,38,33,31,90,158,77,60,61,41
Advanced Materials Technologies,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2365-709X,E767,2365-709X,2365-709X,119,30,89,0,2,0,0,4,14,10,29,20,22,10,8
Advanced Optical Materials,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2195-1071,E298,2195-1071,2195-1071,329,107,222,8,21,20,21,13,15,42,60,43,50,18,18
Advanced Quantum Technologies,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2511-9044,E820,2511-9044,2511-9044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2198-3844,E749,2198-3844,2198-3844,332,155,177,17,22,20,47,19,21,39,24,20,50,29,24
Advanced Sustainable Systems,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2366-7486,E769,2366-7486,2366-7486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Synthesis & Catalysis,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1615-4169,2258,1615-4150,1615-4169,560,121,439,37,24,39,34,38,34,61,67,103,49,31,43
Advanced Theory and Simulations,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2513-0390,E343,2513-0390,2513-0390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADVANCED THERAPEUTICS,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2366-3987,E313,2366-3987,2366-3987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADVANCES IN CELL AND GENE THERAPY,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2573-8461,ACG2,2573-8461,2573-8461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advances in Digestive Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2351-9800,AID2,2351-9800,2351-9800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advances in Ethology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1439-0310b,ETH,0931-4202,1439-0310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advances in Ophthalmology and Vision Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2043-7331,AOV,2043-7323,2043-7331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advances in Polymer Technology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2329,ADV,0730-6679,1098-2329,90,17,73,8,3,6,5,8,3,6,15,17,9,6,4
AEM Education and Training,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2472-5390,AET2,2472-5390,2472-5390,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Africa Confidential,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6338,AFCO,0044-6483,1467-6338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Africa Research Bulletin: Economic, Financial and Technical Series",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6346,ARBE,0001-9852,1467-6346,65,34,31,2,1,3,9,7,2,0,2,2,14,19,4
"Africa Research Bulletin: Political, Social and Cultural Series",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-825X,ARBP,0001-9844,1467-825X,36,13,23,1,2,1,5,7,0,2,0,0,3,4,11
African Development Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8268,AFDR,1017-6772,1467-8268,45,13,32,0,4,2,3,10,5,1,3,2,2,12,1
African Journal of Ecology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2028,AJE,0141-6707,1365-2028,131,67,64,9,13,6,11,6,7,17,4,10,9,24,15
Aggressive Behavior,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2337,AB,0096-140X,1098-2337,84,32,52,1,3,5,16,6,4,3,6,8,18,12,2
Aging Cell,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1474-9726,ACEL,1474-9718,1474-9726,742,369,373,55,58,93,82,51,71,80,72,65,54,42,19
AGING MEDICINE,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2475-0360,AGM2,2475-0360,2475-0360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agribusiness,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6297,AGR,0742-4477,1520-6297,147,46,101,5,32,7,11,2,4,31,8,16,12,12,7
Agricultural and Forest Entomology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1461-9563,AFE,1461-9555,1461-9563,212,105,107,21,27,10,8,22,21,25,14,15,18,19,12
Agricultural Economics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1574-0862,AGEC,0169-5150,1574-0862,643,280,363,38,54,54,64,42,70,26,31,50,63,87,64
AIChE Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1547-5905,AIC,0001-1541,1547-5905,1742,438,1304,48,169,142,89,58,78,222,162,220,181,165,208
Alcoholism & Drug Abuse Weekly,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1556-7591,ADAW,1042-1394,1556-7591,4,1,3,0,0,0,0,0,0,0,0,3,1,0,0
Alcoholism: Clinical and Experimental Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1530-0277,ACER,0145-6008,1530-0277,515,178,337,26,36,32,29,39,34,31,40,62,89,42,55
Alimentary Pharmacology & Therapeutics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2036,APT,0269-2813,1365-2036,1020,409,611,71,61,106,106,79,97,64,83,82,87,100,84
Alimentary Pharmacology & Therapeutics Symposium Series,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1746-6342,APTS,1746-6334,1746-6342,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Allergology International,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1592,AIN,1323-8930,1440-1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1398-9995,ALL,0105-4538,1398-9995,547,223,324,36,33,28,40,45,42,43,62,47,64,46,61
Alternatives to the High Cost of Litigation,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1549-4381,ALT,1549-4373,1549-4381,19,4,15,0,11,1,0,0,0,0,0,0,6,0,1
Ambulatory Child Health,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-0658,ACH,1355-5626,1467-0658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Anthropologist,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-1433,AMAN,0002-7294,1548-1433,1441,392,1049,100,115,84,171,139,48,79,85,129,163,199,129
American Business Law Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1744-1714,ABLJ,0002-7766,1744-1714,44,22,22,1,3,4,3,3,4,1,0,11,9,4,1
American Documentation,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1936-6108,ASI,0096-946X,1936-6108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Ethnologist,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-1425,AMET,0094-0496,1548-1425,854,365,489,38,94,59,152,72,46,30,53,65,71,112,62
American Heart Hospital Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1751-7168,AHH,1541-9215,1751-7168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Journal of Agricultural Economics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8276,AJAE,0002-9092,1467-8276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Journal of Anatomy,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1553-0795,DVDY,0002-9106,1553-0795,144,0,144,6,26,14,10,16,4,5,15,13,11,18,6
American Journal of Botany,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1537-2197,AJB2,0002-9122,1537-2197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Journal of Community Psychology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1573-2770,AJCP,0091-0562,1573-2770,163,88,75,1,6,9,25,9,10,9,3,23,24,28,16
American Journal of Economics and Sociology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1536-7150,AJES,0002-9246,1536-7150,111,44,67,3,18,11,1,6,14,10,3,11,11,19,4
American Journal of Hematology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-8652,AJH,0361-8609,1096-8652,1206,309,897,94,84,85,106,108,71,116,109,138,122,86,87
American Journal of Human Biology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6300,AJHB,1042-0533,1520-6300,241,54,187,12,22,26,19,19,12,20,27,23,26,23,12
American Journal of Industrial Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0274,AJIM,0271-3586,1097-0274,281,95,186,21,15,17,21,9,31,31,7,46,47,29,7
American Journal of Medical Genetics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-8628,AJMG,0148-7299,1096-8628,204,44,160,23,18,26,11,9,29,17,9,13,16,5,28
American Journal of Medical Genetics Part A,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1552-4833,AJMG,1552-4825,1552-4833,760,321,439,44,35,58,66,42,41,55,105,81,110,87,36
American Journal of Medical Genetics Part B: Neuropsychiatric Genetics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1552-485X,AJMB,1552-4841,1552-485X,176,63,113,3,16,18,2,16,17,10,18,29,27,9,11
American Journal of Medical Genetics Part C: Seminars in Medical Genetics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1552-4876,AJMC,1552-4868,1552-4876,114,45,69,9,5,5,8,12,5,2,10,9,20,19,10
American Journal of Orthopsychiatry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1939-0025,AJOP,0002-9432,1939-0025,121,23,98,6,5,14,16,10,7,9,1,14,9,16,14
American Journal of Physical Anthropology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-8644,AJPA,0002-9483,1096-8644,578,95,483,66,40,48,38,43,33,29,46,66,86,42,41
American Journal of Political Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-5907,AJPS,0092-5853,1540-5907,754,392,362,45,55,76,64,75,42,57,50,56,84,104,46
American Journal of Primatology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2345,AJP,0275-2565,1098-2345,256,47,209,16,31,25,35,11,5,46,9,24,17,16,21
American Journal of Reproductive Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0897,AJI,1046-7408,1600-0897,356,86,270,14,31,43,35,14,29,50,32,38,28,26,16
American Journal of Reproductive Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0897b,AJI,0271-7352,1600-0897,4,0,4,0,0,0,0,0,0,3,0,0,1,0,0
American Journal of Reproductive Immunology and Microbiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0897a,AJI,8755-8920,1600-0897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
