Journal Code,Journal Code with Format,Media,USA,UK,Europe,Rest of World
AQC,AQC/E,Online,"$2,275","£1,164","€ 1,470","$2,275"
AR,AR/E,Online,"$12,375","£6,318","€ 7,985","$12,375"
ARA,ARA/E,Online,"$1,023",£630,€ 801,"$1,234"
ARBE,ARBE/E,Online,"$2,776","£1,465","€ 1,860","$3,240"
ARBP,ARBP/E,Online,"$2,776","£1,465","€ 1,860","$3,240"
ARCH,ARCH/E,Online,"$5,462","£2,789","€ 3,526","$5,462"
ARCM,ARCM/E,Online,$668,£342,€ 431,$665
ARCO,ARCO/E,Online,$237,£152,€ 174,$237
ARDP,ARDP/E,Online,"$2,950","£1,507","€ 2,300","$2,950"
ARE,ARE/E,Online,"$6,244","£3,384","€ 4,295","$7,284"
AREA,AREA/E,Online,$510,£305,€ 384,$592
ARP,ARP/E,Online,"$1,776",£908,"€ 1,147","$1,776"
,,,,,,
ASE,ASE/E(MEDIUM),Online,$790,£558,€ 645,$790
,,,,,,
ASEJ,ASEJ/E,Online,$483,£311,€ 392,$604
,,,,,,
ASES,ASES/E(MEDIUM),Online,"$1,242","£1,958","€ 1,674","$1,242"
,,,,,,
ASH,ASH/E,Online,$719,£445,€ 561,$867
,,,,,,
ASIA,ASIA/E(MEDIUM),Online,"$6,582","£3,362","€ 4,860","$6,582"
,,,,,,
ASJ,ASJ/E,Online,"$1,438",£889,"€ 1,129","$1,741"
,,,,,,
ASJC,ASJC/E(MEDIUM),Online,"$1,158",£820,€ 944,"$1,158"
,,,,,,
ASMB,ASMB/E,Online,"$3,676","£1,879","€ 2,374","$3,676"
ASNA,ASNA/E,Online,"$2,825","£1,445","€ 2,277","$2,825"
,,,,,,
ASWP,ASWP/E(MEDIUM),Online,$764,£541,€ 623,$764
,,,,,,
AU,AU/E,Online,$327,£172,€ 215,$327
AUAR,AUAR/E,Online,$436,£238,€ 303,$463
AUPA,AUPA/E,Online,$392,£273,€ 345,$529
,,,,,,
AUR,AUR/E(MEDIUM),Online,"$1,526","£1,080","€ 1,243","$1,526"
,,,,,,
AVJ,AVJ/E,Online,$916,£509,€ 646,$995
AVSC,AVSC/E,Online,$978,£501,€ 634,$978
AWR,AWR/E,Online,$84,£66,€ 79,$84
AWWA,AWWA/E,Online,$314,£264,€ 315,$340
AYA,AYA/E,Online,"$1,229",£735,€ 932,"$1,229"
AYB,AYB/E,Online,"$1,304",£780,€ 987,"$1,304"
AYC,AYC/E,Online,"$3,510","£2,090","€ 2,655","$3,510"
AYD,AYD/E,Online,"$2,096","£1,248","€ 1,584","$2,096"
AYF2,AYF2/E,Online,"$1,953","£1,163","€ 1,477","$1,953"
AZO,AZO/E,Online,"$2,017","£1,092","€ 1,388","$2,356"
BAB,BAB/E,Online,$965,£682,€ 787,$965
BAN,BAN/E,Online,"$3,783","£2,318","€ 2,715","$3,783"
BAPI,BAPI/E,Online,$458,£301,€ 381,$458
BASR,BASR/E,Online,$483,£385,€ 481,$745
BATE,BATE/E,Online,$671,£434,€ 548,$671
,,,,,,
BBB,BBB/E(MEDIUM),Online,"$2,640","£1,349","€ 1,708","$2,640"
,,,,,,
BCP,BCP/E,Online,"$4,252","£2,304","€ 2,925","$4,959"
BCPT,BCPT/E,Online,"$1,508",£899,"€ 1,144","$1,757"
BDD,BDD/E,Online,"$5,251","£2,681","€ 3,387","$5,251"
BDI,BDI/E,Online,"$1,246",£744,€ 944,"$1,452"
BDM,BDM/E,Online,"$1,778",£909,"€ 1,150","$1,778"
BDR,BDR/E,Online,"$12,199","£6,228","€ 7,871","$12,199"
BEER,BEER/E,Online,"$2,268","£1,353","€ 1,716","$2,644"
BEM,BEM/E,Online,"$2,629","£1,348","€ 1,700","$2,629"
BERJ,BERJ/E,Online,"$3,201","£1,537","€ 2,553","$3,201"
BEST,BEST/E,Online,$671,£434,€ 548,$671
BEWI,BEWI/E,Online,$401,£206,€ 390,$401
BICS,BICS/E,Online,$453,£247,€ 290,$453
BIES,BIES/E,Online,"$2,842","£1,344","€ 1,702","$2,842"
BIMJ,BIMJ/E,Online,"$3,632","£1,858","€ 2,823","$3,632"
BIN,BIN/E,Online,"$1,557",£799,"€ 1,005","$1,557"
BIO,BIO/E,Online,"$3,384","£1,733","€ 2,186","$3,384"
BIOF,BIOF/E,Online,"$2,445","£1,250","€ 1,579","$2,445"
BIOM,BIOM/E,Online,$623,£429,€ 541,$835
,,,,,,
BIOT,BIOT/E(MEDIUM),Online,"$5,501","£2,808","€ 4,229","$5,501"
,,,,,,
BIRT,BIRT/E,Online,$777,£602,€ 761,"$1,172"
BIT,BIT/E,Online,"$14,048","£7,169","€ 9,066","$14,048"
BIUZ,BIUZ/E,Online,$384,£199,€ 367,$384
BJC,BJC/E,Online,$708,£390,€ 575,$708
BJD,BJD/E,Online,"$3,788","£2,052","€ 2,603","$4,418"
BJDP,BJDP/E,Online,$693,£383,€ 561,$693
BJEP,BJEP/E,Online,$524,£304,€ 430,$524
BJET,BJET/E,Online,"$1,994","£1,014","€ 1,283","$2,327"
BJH,BJH/E,Online,"$3,696","£1,998","€ 2,536","$4,307"
BJHP,BJHP/E,Online,$593,£330,€ 481,$593
BJIR,BJIR/E,Online,"$1,358",£650,€ 824,"$1,544"
BJO,BJO/E,Online,"$1,000",£599,€ 759,"$1,287"
BJOP,BJOP/E,Online,$943,£511,€ 762,$943
BJOS,BJOS/E,Online,$945,£521,€ 664,"$1,018"
BJP,BJP/E,Online,$374,£209,€ 262,$403
,,,,,,
BJR,BJR/E(MEDIUM),Online,"$1,854","£1,386","€ 1,569","$1,854"
,,,,,,
BJS,BJS/E,Online,$999,£669,€ 977,$999
BJSO,BJSO/E,Online,$701,£385,€ 567,$701
BJU,BJU/E,Online,"$1,884","£1,023","€ 1,301","$2,200"
BKCS,BKCS/E,Online,"$5,004","£3,191","€ 3,753","$5,004"
BL,BL/E,Online,$942,£484,€ 611,$942
BLAR,BLAR/E,Online,"$1,579",£858,"€ 1,089","$1,841"
BLD,BLD/E,Online,$852,£467,€ 589,$996
BLMS,BLMS/E,Online,$671,£381,€ 573,$671
BMB,BMB/E,Online,$923,£471,€ 597,$923
BMC,BMC/E,Online,"$5,731","£2,930","€ 3,700","$5,731"
BMSP,BMSP/E,Online,$641,£348,€ 517,$641
BOC,BOC/E,Online,"$2,045","£1,127","€ 1,630","$2,045"
BOER,BOER/E,Online,"$1,519",£682,€ 868,"$1,772"
BOR,BOR/E,Online,$570,£315,€ 401,$616
BPA,BPA/E,Online,$464,£261,€ 330,$559
BPH,BPH/E,Online,"$6,228","£3,462","€ 5,366","$6,779"
BRE,BRE/E,Online,"$2,443","£1,325","€ 1,681","$2,850"
BRV,BRV/E,Online,$757,£411,€ 522,$885
BSE,BSE/E,Online,"$2,324","£1,190","€ 1,503","$2,324"
BSL,BSL/E,Online,"$2,270","£1,160","€ 1,466","$2,270"
BTP,BTP/E,Online,$675,£415,€ 526,$809
BTPR,BTPR/E,Online,"$2,115","£1,083","€ 1,366","$2,115"
BUSR,BUSR/E,Online,$461,£400,€ 504,$777
CA,CA/E,Online,"$6,902","£3,526","€ 4,455","$6,902"
CAD,CAD/E,Online,$527,£277,€ 347,$527
CAE,CAE/E,Online,"$1,953","£1,000","€ 1,262","$1,953"
CAG,CAG/E,Online,$580,£452,€ 573,$879
CAIM,CAIM/E,Online,"$1,919","£1,144","€ 1,454","$2,236"
CAJE,CAJE/E,Online,$392,£236,€ 298,$462
CALA,CALA/E,Online,"$3,725","£1,969","€ 3,031","$3,725"
CAMH,CAMH/E,Online,$373,£224,€ 282,$433
CAPA,CAPA/E,Online,$535,£295,€ 373,$575
CAPR,CAPR/E,Online,$665,£421,€ 514,$665
CAR,CAR/E,Online,$774,£520,€ 546,$774
CARS,CARS/E,Online,$404,£205,€ 258,$393
CASP,CASP/E,Online,"$1,886",£966,"€ 1,218","$1,886"
CASR,CASR/E,Online,"$3,815","£2,013","€ 3,106","$3,815"
CATL,CATL/E,Online,"$4,049","£2,133","€ 3,290","$4,049"
CAV,CAV/E,Online,"$2,762","£1,412","€ 1,781","$2,762"
CB,CB/E,Online,$944,£520,€ 610,$944
CBDD,CBDD/E,Online,"$2,740","£1,484","€ 1,884","$2,906"
CBDV,CBDV/E,Online,"$2,648","£1,354","€ 2,247","$2,648"
,,,,,,
CBEN,CBEN/E(MEDIUM),Online,"$2,638","£1,652","€ 2,082","$2,638"
,,,,,,
CBF,CBF/E,Online,"$4,305","£2,200","€ 2,783","$4,305"
CBIC,CBIC/E,Online,"$4,369","£2,235","€ 3,723","$4,369"
CBIN,CBIN/E,Online,"$1,782","£1,056","€ 1,286","$1,782"
CBL,CBL/E,Online,"$2,291","£1,174","€ 1,482","$2,291"
CBM,CBM/E,Online,$987,£505,€ 641,$987
CC,CC/E,Online,$426,£219,€ 278,$426
CCD,CCD/E,Online,"$6,674","£3,407","€ 4,307","$6,674"
CCH,CCH/E,Online,"$2,079","£1,130","€ 1,435","$2,428"
,,,,,,
CCHE,CCHE/E(MEDIUM),Online,"$1,339","£1,039","€ 1,241","$1,339"
,,,,,,
,,,,,,
CCTC,CCTC/E(MEDIUM),Online,"$5,333","£3,739","€ 4,336","$5,333"
,,,,,,
CDD,CDD/E,Online,$923,£474,€ 599,$923
CDOE,CDOE/E,Online,"$1,186",£708,€ 894,"$1,382"
CDQ,CDQ/E,Online,$288,£205,€ 236,$288
CEA,CEA/E,Online,"$5,031","£2,725","€ 3,459","$5,873"
CEAS,CEAS/E,Online,$288,£205,€ 236,$288
CEAT,CEAT/E,Online,"$7,472","£3,815","€ 5,826","$7,472"
CED,CED/E,Online,"$3,904","£2,113","€ 2,681","$4,557"
CEI,CEI/E,Online,"$4,201","£2,277","€ 2,891","$4,899"
,,,,,,
CELC,CELC/E(MEDIUM),Online,"$4,313","£2,697","€ 3,434","$4,313"
,,,,,,
CEM,CEM/E,Online,"$3,758","£1,919","€ 2,427","$3,758"
CEN,CEN/E,Online,"$4,002","£2,163","€ 2,744","$4,670"
,,,,,,
CEN3,CEN3/E(MEDIUM),Online,"$1,242","£1,958","€ 1,674","$1,242"
,,,,,,
CEO,CEO/E,Online,"$1,163",£723,€ 916,"$1,412"
CEP,CEP/E,Online,"$3,685","£2,278","€ 2,893","$4,461"
CEPA,CEPA/E,Online,"$1,864","£1,244","€ 1,681","$1,864"
CFS,CFS/E,Online,"$1,283",£695,€ 879,"$1,493"
CGA,CGA/E,Online,$871,£537,€ 682,"$1,049"
CGE,CGE/E,Online,"$2,389","£1,425","€ 1,807","$2,786"
CGF,CGF/E,Online,"$1,324",£806,"€ 1,021","$1,457"
CHD,CHD/E,Online,$869,£488,€ 616,$946
CHEM,CHEM/E,Online,"$15,844","£8,093","€ 12,695","$15,844"
CHIR,CHIR/E,Online,"$4,761","£2,433","€ 3,071","$4,761"
CHSO,CHSO/E,Online,"$1,088",£592,€ 750,"$1,271"
CICO,CICO/E,Online,$554,£438,€ 554,$757
CID,CID/E,Online,$504,£286,€ 363,$554
CIND,CIND/E,Online,"$1,266",£767,€ 897,"$1,266"
CISO,CISO/E,Online,$110,£61,€ 73,$106
CITE,CITE/E,Online,"$5,225","£2,667","€ 3,967","$5,225"
CIUZ,CIUZ/E,Online,$440,£229,€ 417,$440
CJAG,CJAG/E,Online,$424,£253,€ 321,$491
CJAS,CJAS/E,Online,$496,£254,€ 323,$496
CJCE,CJCE/E,Online,"$2,201","£1,128","€ 1,425","$2,201"
CJOC,CJOC/E,Online,"$3,602","£1,840","€ 2,797","$3,602"
CJS,CJS/E,Online,$514,£265,€ 331,$514
CKON,CKON/E,Online,$171,£88,€ 122,$171
CLA,CLA/E,Online,"$1,182",£642,€ 814,"$1,376"
CLEN,CLEN/E,Online,"$2,519","£1,289","€ 2,049","$2,519"
CLR,CLR/E,Online,"$1,696","£1,010","€ 1,283","$1,977"
CM,CM/E,Online,"$9,043","£4,617","€ 5,837","$9,043"
,,,,,,
CMDC,CMDC/E(MEDIUM),Online,"$5,962","£3,044","€ 4,545","$5,962"
,,,,,,
CMI,CMI/E,Online,"$2,841","£1,539","€ 1,953","$3,311"
CMR,CMR/E,Online,"$2,018","£1,286","€ 1,470","$2,018"
CNE,CNE/E,Online,"$35,866","£18,302","€ 23,139","$35,866"
CNM,CNM/E,Online,"$4,628","£2,362","€ 2,985","$4,628"
,,,,,,
CNMA,CNMA/E(MEDIUM),Online,"$3,663","£2,442","€ 3,329","$3,663"
,,,,,,
CNT,CNT/E,Online,$986,£587,€ 744,"$1,144"
COA,COA/E,Online,"$2,878","£1,559","€ 1,980","$3,362"
,,,,,,
COB,COB/E(MEDIUM),Online,$786,£497,€ 575,$786
,,,,,,
COBI,COBI/E,Online,"$1,333","£1,145","€ 1,454","$2,240"
COD,COD/E,Online,"$1,655",£987,"€ 1,253","$1,934"
CODI,CODI/E,Online,"$2,026","£1,101","€ 1,394","$2,370"
COEP,COEP/E,Online,$351,£219,€ 277,$427
COIN,COIN/E,Online,"$1,669","£1,201","€ 1,526","$2,352"
COL,COL/E,Online,"$2,572","£1,315","€ 1,660","$2,572"
CONS,CONS/E,Online,"$1,605",£842,"€ 1,068","$2,028"
CORG,CORG/E,Online,"$3,739","£2,231","€ 2,831","$4,360"
COTE,COTE/E,Online,$883,£444,€ 564,$950
CP,CP/E,Online,$273,£171,€ 222,$273
CPA,CPA/E,Online,"$6,194","£3,164","€ 3,999","$6,194"
CPE,CPE/E,Online,"$6,733","£3,440","€ 4,344","$6,733"
CPF,CPF/E,Online,"$2,922","£1,582","€ 2,008","$3,406"
CPHC,CPHC/E,Online,"$4,499","£2,301","€ 3,834","$4,499"
CPLU,CPLU/E,Online,"$3,785","£2,433","€ 2,844","$3,785"
CPP,CPP/E,Online,"$1,598",£828,"€ 1,033","$1,598"
CPRT,CPRT/E,Online,"$4,638","£2,835","€ 3,323","$4,638"
CPSP,CPSP/E,Online,$648,£416,€ 530,$815
CPT,CPT/E,Online,"$1,415",£885,"€ 1,057","$1,415"
,,,,,,
CPTC,CPTC/E(MEDIUM),Online,"$3,381","£2,528","€ 2,860","$3,381"
,,,,,,
CPU,CPU/E,Online,"$2,291","£1,174","€ 1,482","$2,291"
CRAT,CRAT/E,Online,"$4,884","£2,495","€ 3,847","$4,884"
CRIQ,CRIQ/E,Online,$702,£377,€ 474,$820
CRJ,CRJ/E,Online,$647,£353,€ 447,$686
CROS,CROS/E,Online,$247,£125,€ 157,$238
CRQ,CRQ/E,Online,$535,£277,€ 348,$535
CSR,CSR/E,Online,"$2,177","£1,112","€ 1,403","$2,177"
,,,,,,
CSSC,CSSC/E(MEDIUM),Online,"$6,321","£3,228","€ 4,516","$6,321"
,,,,,,
CTA,CTA/E,Online,"$9,039","£4,615","€ 5,833","$9,039"
CTPP,CTPP/E,Online,"$5,735","£2,930","€ 4,492","$5,735"
CTR,CTR/E,Online,"$2,170","£1,299","€ 1,648","$2,539"
CUAG,CUAG/E,Online,$109,£61,€ 75,$116
CUP,CUP/E,Online,"$2,069","£1,235","€ 1,567","$2,412"
CURA,CURA/E,Online,$429,£265,€ 309,$429
CURT,CURT/E,Online,"$1,084",£590,€ 748,"$1,265"
CVJ,CVJ/E,Online,$146,£104,€ 120,$146
CWE,CWE/E,Online,$721,£429,€ 545,$838
CXO,CXO/E,Online,$553,£331,€ 416,$642
CYT,CYT/E,Online,"$1,796",£977,"€ 1,240","$2,095"
DA,DA/E,Online,"$1,445",£739,€ 934,"$1,445"
DAC,DAC/E,Online,"$4,266","£2,181","€ 2,756","$4,266"
DAMA,DAMA/E,Online,$363,£234,€ 297,$363
DAP,DAP/E,Online,"$4,001","£2,047","€ 3,151","$4,001"
DAR,DAR/E,Online,"$3,285","£1,830","€ 2,627","$3,285"
DC,DC/E,Online,"$4,175","£2,132","€ 2,695","$4,175"
DCH,DCH/E,Online,"$1,708",£877,"€ 1,104","$1,708"
DDG,DDG/E,Online,"$1,355",£783,€ 996,"$1,587"
DDR,DDR/E,Online,"$10,491","£5,353","€ 6,770","$10,491"
DECH,DECH/E,Online,"$1,325",£792,"€ 1,003","$1,545"
DEN,DEN/E,Online,"$1,377",£853,"€ 1,084","$1,669"
DESC,DESC/E,Online,"$1,875","£1,116","€ 1,416","$2,182"
DEV,DEV/E,Online,"$4,510","£2,303","€ 2,910","$4,510"
DEVE,DEVE/E,Online,$315,£190,€ 239,$366
DGD,DGD/E,Online,"$2,334","£1,444","€ 1,832","$2,823"
DHE,DHE/E,Online,"$4,049","£2,073","€ 3,194","$4,049"
DIAL,DIAL/E,Online,$380,£312,€ 393,$605
DISA,DISA/E,Online,"$1,056",£629,€ 798,"$1,227"
DLTC,DLTC/E,Online,$706,£386,€ 490,$821
DMCN,DMCN/E,Online,$876,£501,€ 639,"$1,071"
DME,DME/E,Online,"$3,627","£1,966","€ 2,498","$4,232"
,,,,,,
DMFR,DMFR/E(MEDIUM),Online,"$1,120",£838,€ 949,"$1,120"
,,,,,,
DMRR,DMRR/E,Online,"$1,488",£764,€ 963,"$1,488"
DOM,DOM/E,Online,"$1,789",£970,"€ 1,231","$2,087"
DPR,DPR/E,Online,"$1,171",£701,€ 889,"$1,366"
,,,,,,
DTA,DTA/E(MEDIUM),Online,"$3,171","£2,237","€ 2,579","$3,171"
,,,,,,
DTH,DTH/E,Online,"$1,576","£1,190","€ 1,508","$2,324"
DVDY,DVDY/E,Online,"$10,241","£5,229","€ 6,607","$10,241"
DVG,DVG/E,Online,"$4,569","£2,335","€ 2,954","$4,569"
DYS,DYS/E,Online,$753,£477,€ 489,$753
EAHR,EAHR/E,Online,$340,£255,€ 288,$340
EAP,EAP/E,Online,$505,£321,€ 409,$505
EAT,EAT/E,Online,"$4,254","£2,175","€ 2,744","$4,254"
ECAF,ECAF/E,Online,$549,£297,€ 377,$640
ECC,ECC/E,Online,"$1,634",£888,"€ 1,127","$1,901"
ECCA,ECCA/E,Online,$695,£404,€ 511,$787
ECHO,ECHO/E,Online,"$1,658","£1,259","€ 1,598","$2,459"
ECI,ECI/E,Online,"$3,254","£1,765","€ 2,240","$3,794"
ECIN,ECIN/E,Online,$461,£279,€ 355,$546
ECJ,ECJ/E,Online,"$29,523","£15,063","€ 19,048","$29,523"
ECM,ECM/E,Online,$277,£175,€ 225,$277
ECNO,ECNO/E,Online,$573,£345,€ 437,$668
,,,,,,
ECO,ECO/E(MEDIUM),Online,"$2,504","£1,763","€ 2,037","$2,504"
,,,,,,
ECOG,ECOG/E,Online,"$1,115",£661,€ 838,"$1,288"
ECOL,ECOL/E,Online,"$2,972","£1,770","€ 2,242","$3,461"
ECOT,ECOT/E,Online,"$1,049",£631,€ 801,"$1,231"
ECPA,ECPA/E,Online,$217,£116,€ 144,$217
ECPO,ECPO/E,Online,"$1,565",£789,"€ 1,000","$1,823"
ECY,ECY/E,Online,"$1,123",£710,€ 910,"$1,123"
EDE,EDE/E,Online,$766,£575,€ 726,"$1,117"
EDT,EDT/E,Online,"$1,227",£735,€ 932,"$1,437"
