Doi,Usage1,Usage2,Usage3,AVG Usage,Price,Cost/Use,Journal Name
10.1111/(ISSN)1751-0813,1116,1128,622,955.33,916.0,0.96,"AUSTRALIAN VETERINARY JOURNAL"
10.1111/(ISSN)1548-1492,178,256,103,179.00,173.0,0.97,"ANTHROPOLOGY & EDUCATION QUARTERLY"
10.1111/(ISSN)1600-048X,559,941,469,656.33,655.0,1.00,"JOURNAL OF AVIAN BIOLOGY"
10.1111/(ISSN)1537-2995,1192,1427,799,1139.33,1137.0,1.00,"TRANSFUSION"
10.1111/(ISSN)1548-7466,62,124,74, 86.67, 88.0,1.02,"TRANSFORMING ANTHROPOLOGY"
10.1111/(ISSN)1548-1417,78,127,42, 82.33, 84.0,1.02,"ANTHROPOLOGY OF WORK REVIEW"
10.1111/(ISSN)1935-4940,93,154,54,100.33,105.0,1.05,"JOURNAL OF LATIN AMERICAN & CARIBBEAN ANTHROPOLOGY"
10.1111/(ISSN)1548-1395,92,123,51, 88.67, 93.0,1.05,"JOURNAL OF LINGUISTIC ANTHROPOLOGY"
10.1111/(ISSN)1471-0528,1151,1023,530,901.33,1000.0,1.11,"BJOG: AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY"
10.1111/(ISSN)1740-8709,990,1075,457,840.67,940.0,1.12,"MATERNAL & CHILD NUTRITION"
10.1111/(ISSN)2153-9588,63,93,73, 76.33, 90.0,1.18,"ANNALS OF ANTHROPOLOGICAL PRACTICE"
10.1111/(ISSN)1365-313X,6868,7246,4071,6061.67,7274.0,1.20,"THE PLANT JOURNAL"
10.1111/(ISSN)1540-6237,426,475,294,398.33,499.0,1.25,"SOCIAL SCIENCE QUARTERLY"
10.1111/(ISSN)1540-5907,754,1148,708,870.00,1092.0,1.26,"AMERICAN JOURNAL OF POLITICAL SCIENCE"
10.1111/(ISSN)1461-0248,3625,3626,1731,2994.00,3796.0,1.27,"ECOLOGY LETTERS"
10.1111/(ISSN)1748-7692,362,320,207,296.33,381.0,1.29,"MARINE MAMMAL SCIENCE"
10.1111/(ISSN)1750-3639,340,553,149,347.33,464.0,1.34,"BRAIN PATHOLOGY"
10.1111/(ISSN)1600-0854,1555,1660,954,1389.67,1900.0,1.37,"TRAFFIC"
10.1111/(ISSN)1540-5931,406,379,206,330.33,452.0,1.37,"THE JOURNAL OF POPULAR CULTURE"
10.1002/(ISSN)1365-2168,904,813,468,728.33,999.0,1.37,"BRITISH JOURNAL OF SURGERY"
10.1002/(ISSN)1944-8007,4230,4333,2572,3711.67,5136.0,1.38,"GEOPHYSICAL RESEARCH LETTERS"
10.1111/(ISSN)1527-2001,138,420,194,250.67,348.0,1.39,"HYPATIA"
10.1111/(ISSN)1468-232X,502,391,172,355.00,501.0,1.41,"INDUSTRIAL RELATIONS"
10.1111/(ISSN)1465-7295,312,414,249,325.00,461.0,1.42,"ECONOMIC INQUIRY"
10.1111/(ISSN)1538-7836,1243,1324,754,1107.00,1570.0,1.42,"JOURNAL OF THROMBOSIS AND HAEMOSTASIS"
10.1111/(ISSN)2153-9561,62,115,49, 75.33,109.0,1.45,"CULTURE,AGRICULTURE,FOOD AND ENVIRONMENT"
10.1111/(ISSN)1464-410X,1454,1593,833,1293.33,1884.0,1.46,"BJU INTERNATIONAL"
10.1111/(ISSN)1475-679X,1160,1168,450,926.00,1375.0,1.49,"JOURNAL OF ACCOUNTING RESEARCH"
10.1111/(ISSN)1541-0420,436,495,305,412.00,623.0,1.51,"BIOMETRICS"
10.1111/(ISSN)1467-789X,996,1021,530,849.00,1286.0,1.52,"OBESITY REVIEWS"
10.1111/(ISSN)1740-1461,339,869,194,467.33,711.0,1.52,"JOURNAL OF EMPIRICAL LEGAL STUDIES"
10.1111/(ISSN)1548-1379,72,72,39, 61.00, 94.0,1.54,"MUSEUM ANTHROPOLOGY"
10.1002/(ISSN)2050-0416,328,425,304,352.33,546.0,1.55,"JOURNAL OF THE INSTITUTE OF BREWING"
10.1111/(ISSN)1365-2664,1414,1485,1094,1331.00,2092.0,1.57,"JOURNAL OF APPLIED ECOLOGY"
10.1002/(ISSN)1522-2594,2726,3172,1893,2597.00,4092.0,1.58,"MAGNETIC RESONANCE IN MEDICINE"
10.1111/(ISSN)2041-210X,1332,1982,1330,1548.00,2455.0,1.59,"METHODS IN ECOLOGY AND EVOLUTION"
10.1002/(ISSN)1554-2769,450,484,227,387.00,615.0,1.59,"ARCHITECTURAL DESIGN"
10.1111/(ISSN)1468-0009,204,338,143,228.33,363.0,1.59,"THE MILBANK QUARTERLY"
10.1111/(ISSN)1526-4610,503,522,254,426.33,680.0,1.60,"HEADACHE: THE JOURNAL OF HEAD AND FACE PAIN"
10.1111/(ISSN)1528-1167,1325,1921,1072,1439.33,2327.0,1.62,"EPILEPSIA"
10.1002/(ISSN)1552-146X,595,235,158,329.33,533.0,1.62,"HASTINGS CENTER REPORT"
10.1111/(ISSN)1549-0831,286,354,295,311.67,505.0,1.62,"RURAL SOCIOLOGY"
10.1111/(ISSN)1540-6210,409,470,273,384.00,626.0,1.63,"PUBLIC ADMINISTRATION REVIEW"
10.1002/(ISSN)1525-2027,775,836,500,703.67,1152.0,1.64,"GEOCHEMISTRY,GEOPHYSICS,GEOSYSTEMS"
10.1111/(ISSN)1365-2141,2232,2923,1529,2228.00,3696.0,1.66,"BRITISH JOURNAL OF HAEMATOLOGY"
10.1111/(ISSN)1600-065X,1279,1482,750,1170.33,1942.0,1.66,"IMMUNOLOGICAL REVIEWS"
10.1111/(ISSN)1469-7610,903,869,539,770.33,1279.0,1.66,"THE JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY"
10.1002/(ISSN)1944-9208,367,307,228,300.67,500.0,1.66,"REVIEWS OF GEOPHYSICS"
10.1111/(ISSN)1365-2435,1585,1659,874,1372.67,2301.0,1.68,"FUNCTIONAL ECOLOGY"
10.1002/(ISSN)1547-5905,1742,3380,1410,2177.33,3651.0,1.68,"AICHE JOURNAL"
10.1111/(ISSN)1548-1409,58,84,48, 63.33,110.0,1.74,"ANTHROPOLOGY & HUMANISM"
10.1111/(ISSN)1469-8749,582,530,399,503.67,876.0,1.74,"DEVELOPMENTAL MEDICINE & CHILD NEUROLOGY"
10.1002/(ISSN)1550-9613,0,603,442,348.33,608.0,1.75,"JOURNAL OF ULTRASOUND IN MEDICINE"
10.1111/(ISSN)1557-9263,340,378,225,314.33,554.0,1.76,"JOURNAL OF FIELD ORNITHOLOGY"
10.1111/(ISSN)1474-919X,719,731,446,632.00,1123.0,1.78,"IBIS"
10.1002/(ISSN)1944-9224,551,660,362,524.33,932.0,1.78,"GLOBAL BIOGEOCHEMICAL CYCLES"
10.1111/(ISSN)1600-6143,1833,2453,1430,1905.33,3430.0,1.80,"AMERICAN JOURNAL OF TRANSPLANTATION"
10.1111/(ISSN)1937-5956,520,529,322,457.00,830.0,1.82,"PRODUCTION AND OPERATIONS MANAGEMENT"
10.1111/(ISSN)1600-0587,524,823,460,602.33,1115.0,1.85,"ECOGRAPHY"
10.1002/(ISSN)2330-4847,63,113,51, 75.67,141.0,1.86,"ECONOMIC ANTHROPOLOGY"
10.1111/(ISSN)1556-3537,58,78,55, 63.67,119.0,1.87,"ANTHROPOLOGY OF CONSCIOUSNESS"
10.1111/(ISSN)1468-2427,729,817,425,657.00,1258.0,1.92,"INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH"
10.1002/(ISSN)1938-5463a,380,318,170,289.33,559.0,1.93,"WILDLIFE SOCIETY BULLETIN"
10.1111/(ISSN)1756-2171,315,333,181,276.33,535.0,1.94,"THE RAND JOURNAL OF ECONOMICS"
10.1111/(ISSN)1475-682X,141,227,139,169.00,328.0,1.94,"SOCIOLOGICAL INQUIRY"
10.1111/(ISSN)1365-2745,1424,1363,692,1159.67,2257.0,1.95,"JOURNAL OF ECOLOGY"
10.1111/(ISSN)1465-7287,161,237,133,177.00,351.0,1.98,"CONTEMPORARY ECONOMIC POLICY"
10.1111/(ISSN)1475-6773,549,895,450,631.33,1254.0,1.99,"HEALTH SERVICES RESEARCH"
10.1111/(ISSN)1748-0361,134,280,169,194.33,388.0,2.00,"THE JOURNAL OF RURAL HEALTH"
10.1111/(ISSN)1439-0531,1721,826,451,999.33,2012.0,2.01,"REPRODUCTION IN DOMESTIC ANIMALS"
10.1111/(ISSN)1365-2044,923,1183,711,939.00,1908.0,2.03,"ANAESTHESIA"
10.1111/(ISSN)1365-3164,1010,1290,861,1053.67,2159.0,2.05,"VETERINARY DERMATOLOGY"
10.1111/(ISSN)1749-6632,4136,4212,2400,3582.67,7504.0,2.10,"ANNALS OF THE NEW YORK ACADEMY OF SCIENCES"
10.1111/(ISSN)1746-1561,316,370,165,283.67,595.0,2.10,"JOURNAL OF SCHOOL HEALTH"
10.1111/(ISSN)1547-5069,195,211,115,173.67,366.0,2.11,"JOURNAL OF NURSING SCHOLARSHIP"
10.1002/(ISSN)1539-3429,362,599,347,436.00,923.0,2.12,"BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION"
10.1111/(ISSN)1467-9868,249,530,333,370.67,789.0,2.13,"JOURNAL OF THE ROYAL STATISTICAL SOCIETY: SERIES B(STATISTICAL METHODOLOGY)"
10.1111/(ISSN)1933-1592,225,175,142,180.67,385.0,2.13,"PHILOSOPHY AND PHENOMENOLOGICAL RESEARCH"
10.1111/(ISSN)1365-2656,1228,1133,646,1002.33,2158.0,2.15,"JOURNAL OF ANIMAL ECOLOGY"
10.1111/(ISSN)1744-6570,498,300,170,322.67,695.0,2.15,"PERSONNEL PSYCHOLOGY"
10.1111/(ISSN)1469-8986,436,566,291,431.00,933.0,2.17,"PSYCHOPHYSIOLOGY"
10.1111/(ISSN)1467-8322,82,139,100,107.00,235.0,2.20,"ANTHROPOLOGY TODAY"
10.1111/(ISSN)1745-4549,397,359,176,310.67,687.0,2.21,"JOURNAL OF FOOD PROCESSING AND PRESERVATION"
10.1111/(ISSN)1348-0421,311,374,225,303.33,675.0,2.23,"MICROBIOLOGY AND IMMUNOLOGY"
10.1111/(ISSN)1574-0862,643,805,351,599.67,1336.0,2.23,"AGRICULTURAL ECONOMICS"
10.1002/(ISSN)1532-6535,651,895,356,634.00,1415.0,2.23,"CLINICAL PHARMACOLOGY & THERAPEUTICS"
10.1111/(ISSN)1540-6040,276,302,162,246.67,554.0,2.25,"CITY & COMMUNITY"
10.1111/(ISSN)1530-9290,291,282,315,296.00,665.0,2.25,"JOURNAL OF INDUSTRIAL ECOLOGY"
10.1002/(ISSN)1521-1878,1304,1506,925,1245.00,2842.0,2.28,"BIOESSAYS"
10.1111/(ISSN)1600-0706,1191,1236,602,1009.67,2353.0,2.33,"OIKOS"
10.1111/(ISSN)1539-6924,1560,1057,552,1056.33,2508.0,2.37,"RISK ANALYSIS"
10.1111/(ISSN)1540-5893,218,400,130,249.33,598.0,2.40,"LAW & SOCIETY REVIEW"
10.1111/(ISSN)1752-1688,400,358,233,330.33,793.0,2.40,"JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION"
10.1111/(ISSN)1748-0922,132,169,77,126.00,304.0,2.41,"RELIGIOUS STUDIES REVIEW"
10.1111/(ISSN)1365-2958,4734,5157,2615,4168.67,10130.0,2.43,"MOLECULAR MICROBIOLOGY"
10.1111/(ISSN)1540-8191,249,384,387,340.00,847.0,2.49,"JOURNAL OF CARDIAC SURGERY"
10.1111/(ISSN)1744-7909,525,634,278,479.00,1205.0,2.52,"JOURNAL OF INTEGRATIVE PLANT BIOLOGY"
10.1111/(ISSN)1740-9713,157,261,59,159.00,400.0,2.52,"SIGNIFICANCE"
10.1111/(ISSN)1399-3054,952,1151,693,932.00,2356.0,2.53,"PHYSIOLOGIA PLANTARUM"
10.1111/(ISSN)1365-3059,1085,1125,647,952.33,2411.0,2.53,"PLANT PATHOLOGY"
10.1111/(ISSN)1475-4991,145,112,128,128.33,327.0,2.55,"REVIEW OF INCOME AND WEALTH"
10.1111/(ISSN)1939-3466,15,9,3,9.00, 23.0,2.56,"GENERAL ANTHROPOLOGY"
10.1111/(ISSN)1088-4963,103,157,64,108.00,277.0,2.57,"PHILOSOPHY AND PUBLIC AFFAIRS"
10.1111/(ISSN)1475-4967,364,66,20,150.00,386.0,2.57,"MIDDLE EAST POLICY"
10.1111/(ISSN)1536-7150,111,145,49,101.67,264.0,2.60,"THE AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY"
10.1002/(ISSN)1098-1004,1360,1424,337,1040.33,2705.0,2.60,"HUMAN MUTATION"
10.1002/(ISSN)1469-0705,957,854,537,782.67,2049.0,2.62,"ULTRASOUND IN OBSTETRICS & GYNECOLOGY"
10.1111/(ISSN)1744-4667,95,131,121,115.67,303.0,2.62,"THE OBSTETRICIAN & GYNAECOLOGIST"
10.1111/(ISSN)1651-2227,638,614,373,541.67,1445.0,2.67,"ACTA PAEDIATRICA: NURTURING THE CHILD"
10.1111/(ISSN)1468-2303,188,206,107,167.00,446.0,2.67,"HISTORY AND THEORY"
10.1002/(ISSN)1522-2586,1215,1436,994,1215.00,3305.0,2.72,"JOURNAL OF MAGNETIC RESONANCE IMAGING"
10.1111/(ISSN)1467-8330,495,612,368,491.67,1382.0,2.81,"ANTIPODE"
10.1002/(ISSN)1537-2197,0,0,1004,334.67,944.0,2.82,"AMERICAN JOURNAL OF BOTANY"
10.1111/(ISSN)1420-9101,1427,1799,956,1394.00,4049.0,2.91,"JOURNAL OF EVOLUTIONARY BIOLOGY"
10.1111/(ISSN)1540-8167,479,648,305,477.33,1390.0,2.91,"JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY"
10.1002/(ISSN)1477-8696,41,82,53, 58.67,171.0,2.92,"WEATHER"
10.1111/(ISSN)1744-7348,522,560,328,470.00,1380.0,2.94,"ANNALS OF APPLIED BIOLOGY"
10.1111/(ISSN)1744-7917,217,438,257,304.00,897.0,2.95,"INSECT SCIENCE"
10.1002/(ISSN)1097-0266,968,1724,1041,1244.33,3779.0,3.04,"STRATEGIC MANAGEMENT JOURNAL"
10.1111/(ISSN)1471-4159,2615,2886,1663,2388.00,7263.0,3.04,"JOURNAL OF NEUROCHEMISTRY"
10.1111/(ISSN)1399-6576,373,335,149,285.67,876.0,3.07,"ACTA ANAESTHESIOLOGICA SCANDINAVICA"
10.1111/(ISSN)1540-6563,97,106,75, 92.67,286.0,3.09,"THE HISTORIAN"
10.1111/(ISSN)1462-5822,994,1165,594,917.67,2841.0,3.10,"CELLULAR MICROBIOLOGY"
10.1111/(ISSN)1467-7687,733,706,353,597.33,1875.0,3.14,"DEVELOPMENTAL SCIENCE"
10.1111/(ISSN)1751-1097,466,585,284,445.00,1413.0,3.18,"PHOTOCHEMISTRY & PHOTOBIOLOGY"
10.1111/(ISSN)1540-6229,283,326,123,244.00,780.0,3.20,"REAL ESTATE ECONOMICS"
10.1111/(ISSN)1745-459X,256,311,225,264.00,848.0,3.21,"JOURNAL OF SENSORY STUDIES"
10.1111/(ISSN)1728-4465,102,68,49, 73.00,236.0,3.23,"STUDIES IN FAMILY PLANNING"
10.1002/(ISSN)1097-0215,2368,2531,1388,2095.67,6782.0,3.24,"INTERNATIONAL JOURNAL OF CANCER"
10.1111/(ISSN)1744-7429,236,228,161,208.33,675.0,3.24,"BIOTROPICA"
10.1111/(ISSN)1467-7660,440,476,310,408.67,1325.0,3.24,"DEVELOPMENT AND CHANGE"
10.1111/(ISSN)1748-1090,153,110,105,122.67,403.0,3.29,"INTERNATIONAL ZOO YEARBOOK"
10.1111/(ISSN)1346-8138,599,434,196,409.67,1353.0,3.30,"THE JOURNAL OF DERMATOLOGY"
10.1002/(ISSN)1944-9194,298,313,146,252.33,838.0,3.32,"TECTONICS"
10.1002/(ISSN)1531-8257,835,1026,476,779.00,2591.0,3.33,"MOVEMENT DISORDERS"
10.1111/(ISSN)1365-2133,1373,1317,724,1138.00,3788.0,3.33,"BRITISH JOURNAL OF DERMATOLOGY"
10.1111/(ISSN)1526-100X,326,349,237,304.00,1017.0,3.35,"RESTORATION ECOLOGY"
10.1111/(ISSN)1758-5899,292,162,244,232.67,785.0,3.37,"GLOBAL POLICY"
10.1111/(ISSN)1468-4446,230,293,315,279.33,945.0,3.38,"THE BRITISH JOURNAL OF SOCIOLOGY"
10.1111/(ISSN)1365-2486,2372,3049,1413,2278.00,7707.0,3.38,"GLOBAL CHANGE BIOLOGY"
10.1002/(ISSN)1469-896X,974,1051,556,860.33,2912.0,3.39,"PROTEIN SCIENCE"
10.1002/(ISSN)1938-3703,54,43,39, 45.33,154.0,3.40,"JOURNAL OF APPLIED BEHAVIOR ANALYSIS"
10.1111/(ISSN)1525-139X,331,320,219,290.00,985.0,3.40,"SEMINARS IN DIALYSIS"
10.1002/(ISSN)2168-0159,194,279,61,178.00,608.0,3.42,"SID SYMPOSIUM DIGEST OF TECHNICAL PAPERS"
10.1111/(ISSN)1542-4758,155,177,70,134.00,467.0,3.49,"HEMODIALYSIS INTERNATIONAL"
10.1111/(ISSN)1462-2920,2200,2494,1190,1961.33,6919.0,3.53,"ENVIRONMENTAL MICROBIOLOGY"
10.1111/(ISSN)1559-1816,725,787,439,650.33,2304.0,3.54,"JOURNAL OF APPLIED SOCIAL PSYCHOLOGY"
10.1111/(ISSN)1524-4741,312,406,128,282.00,1011.0,3.59,"THE BREAST JOURNAL"
10.1111/(ISSN)1742-1241,265,300,156,240.33,863.0,3.59,"INTERNATIONAL JOURNAL OF CLINICAL PRACTICE"
10.1111/(ISSN)1525-1403,154,265,156,191.67,691.0,3.61,"NEUROMODULATION: TECHNOLOGY AT THE NEURALINTERFACE"
10.1111/(ISSN)1556-4029,230,256,160,215.33,777.0,3.61,"JOURNAL OF FORENSIC SCIENCES"
10.1111/(ISSN)1468-5906,110,75,44, 76.33,276.0,3.62,"JOURNAL FOR THE SCIENTIFIC STUDY OF RELIGION"
10.1002/(ISSN)1520-6688,594,576,389,519.67,1885.0,3.63,"JOURNAL OF POLICY ANALYSIS AND MANAGEMENT"
10.1002/(ISSN)2042-6984,279,291,224,264.67,965.0,3.65,"INTERNATIONAL FORUM OF ALLERGY & RHINOLOGY"
10.1002/(ISSN)1520-6394,469,481,236,395.33,1445.0,3.66,"DEPRESSION AND ANXIETY"
10.1002/(ISSN)1944-799X,304,228,189,240.33,880.0,3.66,"RADIO SCIENCE"
10.1111/(ISSN)1463-1326,584,616,263,487.67,1789.0,3.67,"DIABETES OBESITY & METABOLISM"
10.1021/(ISSN)1520-6033,622,666,428,572.00,2115.0,3.70,"BIOTECHNOLOGY PROGRESS"
10.1111/(ISSN)1468-2354,260,204,111,191.67,711.0,3.71,"INTERNATIONAL ECONOMIC REVIEW"
10.1111/(ISSN)1469-8676,203,205,112,173.33,648.0,3.74,"SOCIAL ANTHROPOLOGY"
10.1111/(ISSN)1440-1843,424,411,187,340.67,1283.0,3.77,"RESPIROLOGY"
10.1111/(ISSN)1524-475X,226,267,184,225.67,852.0,3.78,"WOUND REPAIR AND REGENERATION"
10.1111/(ISSN)1746-1049,86,68,95, 83.00,315.0,3.80,"THE DEVELOPING ECONOMIES"
10.1002/(ISSN)1873-3468,2545,2928,1662,2378.33,9044.0,3.80,"FEBS LETTERS"
10.1002/(ISSN)1526-4998,945,1268,847,1020.00,3935.0,3.86,"PEST MANAGEMENT SCIENCE"
10.1111/(ISSN)1530-0277,515,609,284,469.33,1860.0,3.96,"ALCOHOLISM: CLINICAL & EXPERIMENTAL RESEARCH"
10.1111/(ISSN)1744-7976,111,121,88,106.67,424.0,3.98,"CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS/REVUE CANADIENNE D'AGROECONOMIE"
10.1111/(ISSN)1600-0625,442,434,208,361.33,1447.0,4.01,"EXPERIMENTAL DERMATOLOGY"
10.1111/(ISSN)1525-142X,237,239,97,191.00,766.0,4.01,"EVOLUTION AND DEVELOPMENT"
10.1111/(ISSN)1399-3062,280,375,159,271.33,1090.0,4.02,"TRANSPLANT INFECTIOUS DISEASE"
10.1111/(ISSN)1530-9134,172,204,82,152.67,614.0,4.02,"JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY"
10.1111/(ISSN)1447-0756,298,339,134,257.00,1036.0,4.03,"JOURNAL OF OBSTETRICS AND GYNAECOLOGY RESEARCH"
10.1002/(ISSN)1096-9896,982,912,489,794.33,3213.0,4.05,"THE JOURNAL OF PATHOLOGY"
10.1111/(ISSN)1467-9787,278,175,112,188.33,763.0,4.05,"JOURNAL OF REGIONAL SCIENCE"
10.1111/(ISSN)1756-185X,188,163,128,159.67,648.0,4.06,"INTERNATIONAL JOURNAL OF RHEUMATIC DISEASES"
10.1111/(ISSN)1542-2011,191,213,103,169.00,691.0,4.09,"JOURNAL OF MIDWIFERY & WOMEN'S HEALTH"
10.1111/(ISSN)1469-1795,290,271,159,240.00,982.0,4.09,"ANIMAL CONSERVATION"
10.1111/(ISSN)1525-1470,495,517,212,408.00,1677.0,4.11,"PEDIATRIC DERMATOLOGY"
10.1111/(ISSN)1540-8159,375,440,239,351.33,1450.0,4.13,"PACING AND CLINICAL ELECTROPHYSIOLOGY"
10.1111/(ISSN)1468-2435,146,207,152,168.33,695.0,4.13,"INTERNATIONAL MIGRATION"
10.1111/(ISSN)1550-7408,146,189,97,144.00,595.0,4.13,"THE JOURNAL OF EUKARYOTIC MICROBIOLOGY"
10.1111/(ISSN)1471-0366,282,301,194,259.00,1072.0,4.14,"JOURNAL OF AGRARIAN CHANGE"
10.1111/(ISSN)1755-3768,281,214,122,205.67,853.0,4.15,"ACTA OPHTHALMOLOGICA"
10.1111/(ISSN)1365-2796,507,639,337,494.33,2075.0,4.20,"JOURNAL OF INTERNAL MEDICINE"
10.1111/(ISSN)1475-4959,133,121,82,112.00,472.0,4.21,"THE GEOGRAPHICAL JOURNAL"
10.1111/(ISSN)1467-8543,351,353,261,321.67,1358.0,4.22,"BRITISH JOURNAL OF INDUSTRIAL RELATIONS"
10.1002/(ISSN)1538-165X,158,234,92,161.33,686.0,4.25,"POLITICAL SCIENCE QUARTERLY"
10.1111/(ISSN)1533-2500,176,188,129,164.33,703.0,4.28,"PAIN PRACTICE"
10.1002/(ISSN)1097-0010,1816,1736,982,1511.33,6482.0,4.29,"JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE"
10.1111/(ISSN)1600-0560,585,555,301,480.33,2069.0,4.31,"JOURNAL OF CUTANEOUS PATHOLOGY"
10.1002/(ISSN)2169-9356,1121,1617,644,1127.33,4867.0,4.32,"JOURNAL OF GEOPHYSICAL RESEARCH: SOLID EARTH"
10.1111/(ISSN)1748-5991,122,120,216,152.67,666.0,4.36,"REGULATION & GOVERNANCE"
10.1111/(ISSN)1600-0838,278,324,233,278.33,1215.0,4.37,"SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE INSPORTS"
